date,CPI,CPI_yoy,CPI_mom,PPI,PPI_yoy,interest rate,previous interest rate,next interest rate,previous change,present change
1965-09-01,31.62,1.737451737451745,0.221870047543593,32.4,2.208201892744488,4.02,4.12,4.08,-0.1000000000000005,0.0600000000000005
1965-10-01,31.65,1.7030848329048665,0.0948766603415585,32.5,2.5236593059936974,4.08,4.02,4.1,0.0600000000000005,0.0199999999999995
1965-11-01,31.75,1.7302146747837144,0.3159557661927437,32.6,2.8391167192429068,4.1,4.08,4.32,0.0199999999999995,0.2200000000000006
1965-12-01,31.85,1.9200000000000104,0.3149606299212681,32.8,3.4700315457413256,4.32,4.1,4.42,0.2200000000000006,0.0999999999999996
1966-01-01,31.88,1.9181585677749304,0.0941915227629541,32.9,3.459119496855334,4.42,4.32,4.6,0.0999999999999996,0.1799999999999997
1966-02-01,32.08,2.557544757033248,0.6273525721455453,33.2,4.075235109717879,4.6,4.42,4.66,0.1799999999999997,0.0600000000000005
1966-03-01,32.18,2.778664963270528,0.3117206982543585,33.2,4.075235109717879,4.66,4.6,4.67,0.0600000000000005,0.0099999999999997
1966-04-01,32.28,2.8680688336520044,0.3107520198881275,33.2,3.750000000000009,4.67,4.66,4.9,0.0099999999999997,0.2300000000000004
1966-05-01,32.35,2.763659466327839,0.2168525402726162,33.2,3.4267912772585785,4.9,4.67,5.17,0.2300000000000004,0.2699999999999996
1966-06-01,32.38,2.4359379943056148,0.0927357032457498,33.3,2.777777777777768,5.17,4.9,5.3,0.2699999999999996,0.1299999999999999
1966-07-01,32.45,2.754908169727699,0.2161828289067413,33.5,3.395061728395077,5.3,5.17,5.53,0.1299999999999999,0.2300000000000004
1966-08-01,32.65,3.4865293185419866,0.6163328197226425,33.6,3.70370370370372,5.53,5.3,5.4,0.2300000000000004,-0.1299999999999999
1966-09-01,32.75,3.5736875395319334,0.3062787136294043,33.6,3.70370370370372,5.4,5.53,5.53,-0.1299999999999999,0.1299999999999999
1966-10-01,32.85,3.791469194312813,0.3053435114503955,33.4,2.7692307692307683,5.53,5.4,5.76,0.1299999999999999,0.2299999999999995
1966-11-01,32.88,3.5590551181102548,0.0913242009132453,33.3,2.1472392638036686,5.76,5.53,5.4,0.2299999999999995,-0.3599999999999994
1966-12-01,32.92,3.3594976452119285,0.1216545012165504,33.3,1.5243902439024293,5.4,5.76,4.94,-0.3599999999999994,-0.4599999999999999
1967-01-01,32.9,3.19949811794229,-0.0607533414337835,33.4,1.5197568389057723,4.94,5.4,5.0,-0.4599999999999999,0.0599999999999996
1967-02-01,33.0,2.8678304239401653,0.3039513677811634,33.4,0.6024096385542022,5.0,4.94,4.53,0.0599999999999996,-0.4699999999999997
1967-03-01,33.0,2.5481665630826544,0.0,33.3,0.30120481927709,4.53,5.0,4.05,-0.4699999999999997,-0.4800000000000004
1967-04-01,33.1,2.540272614622064,0.3030303030303161,33.1,-0.3012048192771122,4.05,4.53,3.94,-0.4800000000000004,-0.1099999999999998
1967-05-01,33.1,2.3183925811437467,0.0,33.3,0.30120481927709,3.94,4.05,3.98,-0.1099999999999998,0.04
1967-06-01,33.3,2.841260037059889,0.6042296072507503,33.5,0.6006006006006093,3.98,3.94,3.79,0.04,-0.1899999999999999
1967-07-01,33.4,2.9275808936825687,0.3003003003003046,33.5,0.0,3.79,3.98,3.9,-0.1899999999999999,0.1099999999999998
1967-08-01,33.5,2.6033690658499253,0.2994011976047872,33.4,-0.5952380952381042,3.9,3.79,3.99,0.1099999999999998,0.0900000000000003
1967-09-01,33.6,2.595419847328251,0.2985074626865813,33.4,-0.5952380952381042,3.99,3.9,3.88,0.0900000000000003,-0.1100000000000003
1967-10-01,33.7,2.587519025875196,0.2976190476190465,33.4,0.0,3.88,3.99,4.13,-0.1100000000000003,0.25
1967-11-01,33.9,3.10218978102188,0.5934718100890191,33.4,0.3003003003003046,4.13,3.88,4.51,0.25,0.3799999999999999
1967-12-01,34.0,3.280680437424044,0.2949852507374784,33.7,1.2012012012012183,4.51,4.13,4.61,0.3799999999999999,0.1000000000000005
1968-01-01,34.1,3.647416413373872,0.2941176470588225,33.8,1.197604790419149,4.61,4.51,4.71,0.1000000000000005,0.0999999999999996
1968-02-01,34.2,3.6363636363636376,0.2932551319648091,34.0,1.7964071856287456,4.71,4.61,5.05,0.0999999999999996,0.3399999999999998
1968-03-01,34.3,3.939393939393932,0.2923976608186995,34.1,2.402402402402415,5.05,4.71,5.76,0.3399999999999998,0.71
1968-04-01,34.4,3.92749244712991,0.291545189504383,34.1,3.021148036253773,5.76,5.05,6.12,0.71,0.3600000000000003
1968-05-01,34.5,4.229607250755274,0.2906976744186051,34.2,2.7027027027027195,6.12,5.76,6.07,0.3600000000000003,-0.0499999999999998
1968-06-01,34.7,4.2042042042042205,0.5797101449275477,34.2,2.0895522388059806,6.07,6.12,6.03,-0.0499999999999998,-0.04
1968-07-01,34.9,4.491017964071853,0.5763688760806795,34.3,2.38805970149254,6.03,6.07,6.03,-0.04,0.0
1968-08-01,35.0,4.477611940298498,0.2865329512893977,34.2,2.3952095808383422,6.03,6.03,5.78,0.0,-0.25
1968-09-01,35.1,4.464285714285721,0.2857142857142891,34.4,2.9940119760478945,5.78,6.03,5.91,-0.25,0.1299999999999999
1968-10-01,35.3,4.7477744807121525,0.5698005698005604,34.4,2.9940119760478945,5.91,5.78,5.82,0.1299999999999999,-0.0899999999999998
1968-11-01,35.4,4.424778761061954,0.2832861189801638,34.5,3.293413173652704,5.82,5.91,6.02,-0.0899999999999998,0.1999999999999993
1968-12-01,35.6,4.705882352941182,0.5649717514124353,34.6,2.6706231454005858,6.02,5.82,6.3,0.1999999999999993,0.2800000000000002
1969-01-01,35.7,4.692082111436946,0.2808988764045006,34.8,2.9585798816567976,6.3,6.02,6.61,0.2800000000000002,0.3100000000000005
1969-02-01,35.8,4.678362573099393,0.2801120448179039,35.0,2.941176470588225,6.61,6.3,6.79,0.3100000000000005,0.1799999999999997
1969-03-01,36.1,5.247813411078739,0.8379888268156499,35.2,3.2258064516129004,6.79,6.61,7.41,0.1799999999999997,0.6200000000000001
1969-04-01,36.3,5.523255813953476,0.5540166204986097,35.3,3.519061583577709,7.41,6.79,8.67,0.6200000000000001,1.2599999999999998
1969-05-01,36.4,5.507246376811592,0.2754820936639257,35.5,3.801169590643272,8.67,7.41,8.9,1.2599999999999998,0.2300000000000004
