date,CPI,CPI_yoy,CPI_mom,coreCPI,coreCPI_yoy,coreCPI_mom,PPI,PPI_yoy,PPI_mom,unemployment,unemployment_yoy,unemployment_mom,Nonfarm,Nonfarm_yoy,Nonfarm_mom,industrial production,industrial production_yoy,industrial production_mom,OECD leading,OECD leading_yoy,OECD leading_mom,consumer sentiment_mom,interest rate,previous interest rate,next interest rate,previous change,present change
1980-03-01,80.1,14.592274678111572,1.3924050632911245,78.6,12.60744985673352,1.4193548387096744,87.5,15.435356200527718,0.690448791714604,6.3,8.62068965517242,0.0,90994.0,1.6931347019971232,0.1221350527601528,51.7454,-0.3712104000523797,-0.4193344148658795,98.01623,-2.9095276538208203,-0.2794054299657067,-15.545590433482817,17.19,14.13,17.61,3.0600000000000005,0.4199999999999981
1980-04-01,80.9,14.589235127478762,0.998751560549338,79.5,13.086770981507833,1.1450381679389388,87.8,14.174252275682695,0.3428571428571336,6.9,18.96551724137932,9.523809523809534,90849.0,1.601485176196915,-0.1593511660109459,50.7197,-1.1795398352852593,-1.9822051815233663,97.86433,-2.8540641952759294,-0.1549743343525866,-6.725663716814156,17.61,17.19,10.98,0.4199999999999981,-6.629999999999999
1980-05-01,81.7,14.425770308123242,0.9888751545117368,80.1,13.13559322033897,0.7547169811320753,88.3,13.935483870967747,0.5694760820045497,7.5,33.928571428571445,8.695652173913038,90420.0,0.70275868981724,-0.4722121322193962,49.4766,-4.44511396688182,-2.4509214368381604,97.91743,-2.5758285798999525,0.0542587886720236,-1.8975332068311144,10.98,17.61,9.47,-6.629999999999999,-1.5099999999999998
1980-06-01,82.5,14.265927977839322,0.9791921664626724,81.0,13.604488078541376,1.1235955056179805,88.7,13.717948717948714,0.4530011325028393,7.6,33.33333333333333,1.3333333333333195,90101.0,-0.0077684556310186,-0.3527980535279806,48.8383,-5.692989485676769,-1.2901048172267338,98.20581,-2.053259129602203,0.2945134487291945,13.539651837524168,9.47,10.98,9.03,-1.5099999999999998,-0.4400000000000013
1980-07-01,82.6,13.15068493150684,0.1212121212121219,80.8,12.37830319888733,-0.2469135802469213,90.3,14.015151515151514,1.8038331454340415,7.8,36.8421052631579,2.631578947368429,89840.0,-0.4178813305696249,-0.2896749203671445,48.4907,-6.212804310783349,-0.7117364855041997,98.66565,-1.3597991718136804,0.4682411356313753,6.132879045996575,9.03,9.47,9.61,-0.4400000000000013,0.5800000000000001
1980-08-01,83.2,12.890094979647216,0.7263922518159882,81.3,11.82943603851443,0.6188118811881083,91.5,14.949748743718594,1.3289036544850583,7.7,28.333333333333343,-1.2820512820512775,90099.0,-0.2225913621262454,0.288290293855753,48.6456,-5.295741524516306,0.3194426972594755,99.18262,-0.6192844196336478,0.5239614800084835,8.02568218298556,9.61,9.03,10.87,0.5800000000000001,1.2599999999999998
1980-09-01,83.9,12.768817204301076,0.8413461538461675,82.1,12.005457025920862,0.9840098400983875,91.7,13.349814585908517,0.2185792349726822,7.5,27.118644067796605,-2.5974025974025983,90213.0,-0.1262081105317336,0.1265274864315824,49.4578,-3.7079725791095752,1.669626852171624,99.6339,0.0534240068607694,0.4549990714098895,9.509658246656771,10.87,9.61,12.81,1.2599999999999998,1.9400000000000013
1980-10-01,84.7,12.632978723404252,0.953516090584028,83.0,12.162162162162172,1.0962241169305775,92.8,13.03288672350793,1.1995637949836269,7.5,25.0,0.0,90490.0,0.0099468396679958,0.3070510901976409,50.0861,-3.1544448204186226,1.2703759568763795,99.9305,0.5864645700470961,0.2976898425134378,1.7639077340569909,12.81,10.87,15.85,1.9400000000000013,3.039999999999999
1980-11-01,85.6,12.631578947368416,1.0625737898465104,83.9,12.165775401069537,1.0843373493975903,93.2,12.832929782082324,0.4310344827586299,7.5,27.118644067796605,0.0,90747.0,0.1921102315259437,0.2840092827936846,50.9209,-1.3812577347140589,1.666729891127483,100.0492,0.957840758393691,0.1187825538749409,2.2666666666666613,15.85,12.81,18.9,3.039999999999999,3.049999999999999
1980-12-01,86.4,12.353706111833551,0.9345794392523477,84.9,12.153236459709383,1.1918951132300348,93.8,12.470023980815338,0.6437768240343367,7.2,20.0,-3.999999999999993,90943.0,0.2988794776777936,0.215985101435856,51.257,-0.79815132360741,0.6600433220936619,100.0306,1.2013785076796513,-0.018590853300171,-15.90612777053455,18.9,15.85,19.08,3.049999999999999,0.1799999999999997
