date,CPI,CPI_yoy,CPI_mom,coreCPI,coreCPI_yoy,coreCPI_mom,PCE,PCE_yoy,PCE_mom,corePCE,corePCE_yoy,corePCE_mom,PPI,PPI_yoy,PPI_mom,unemployment,unemployment_yoy,unemployment_mom,Nonfarm,Nonfarm_yoy,Nonfarm_mom,GDP,GDP_mom,retail,retail_yoy,retail_mom,industrial production,industrial production_yoy,industrial production_mom,OECD leading,OECD leading_yoy,OECD leading_mom,consumer sentiment,consumer sentiment_yoy,consumer sentiment_mom,initial claims,continued claims,interest rate,interest rate fluctuation
2009-07-01,214.726,-1.958761003762277,-0.0297965454630122,219.263,1.5270992984974363,0.0689145277301239,9886.3,-2.933697263649848,0.3440786001380314,88.922,-1.4660091971854472,0.0112470757603011,172.5,-16.058394160583944,-0.9190120620333088,9.5,63.793103448275865,0.0,130661.0,-4.968289064091003,-0.2610627237544127,1.4,-300.0,0.2,-150.0,-88.23529411764706,85.6853,-13.814305859822127,1.193628313567463,96.77999,-3.0121359108978285,0.506938022272907,66.0,7.843137254901955,-6.779661016949145,566500.0,6139000.0,0.16,-0.0499999999999999
2009-10-01,216.509,-0.2239682942003384,0.3001931798703783,220.501,1.712733177113113,0.2641869770825922,9976.7,-0.5720493118466008,0.4925562561695518,89.663,0.0133852383130239,0.3795172629976306,175.2,-6.008583690987135,0.6318207926478969,10.0,53.846153846153854,2.0408163265306145,130061.0,-4.57320204851277,-0.1382053270475469,4.4,214.28571428571436,0.9,-123.6842105263158,-137.5,87.5809,-7.320327835891582,0.2275065488240857,98.18285,0.6276799874388228,0.4472113970821478,70.6,22.569444444444443,-3.945578231292524,525400.0,5765600.0,0.12,-0.03
2010-01-01,217.488,2.621111388976716,0.0648732211624647,220.633,1.5123351706495702,-0.1122776517672341,10056.1,2.121415224632384,0.0348168632990475,90.136,2.301720615608116,0.2190373475355445,181.9,6.25,2.133632790567108,9.8,25.64102564102566,-1.0101010101010055,129795.0,-3.1857443348798364,-0.0092444937484059,1.9,-56.81818181818182,-0.1,-106.66666666666669,-120.0,89.1897,0.9262067279837805,1.075811079732203,99.27216,3.8243381041776825,0.3218475553410371,74.4,21.568627450980404,2.6206896551724146,479800.0,4839000.0,0.11,-0.0099999999999999
2010-04-01,217.403,2.2067707525304403,0.0230040533141906,220.822,0.9675088932173947,0.0176644035093431,10182.3,4.193399846508061,0.2589602205592678,90.31,2.282122430488709,0.0542870121093441,184.4,9.047900650502672,0.6001091107474155,9.9,10.000000000000009,0.0,130115.0,-1.2971742840887537,0.1925076040503626,3.9,105.26315789473686,0.9,80.0,-57.14285714285714,90.4607,5.44397210407237,0.3606787994976601,99.72921,4.432341380540916,0.0637631858355192,72.2,10.906298003072212,-1.90217391304347,469000.0,4728000.0,0.2,0.04
2010-07-01,217.605,1.3407784804821077,0.186925354168288,221.363,0.9577539302116688,0.0764035190828016,10268.1,3.861909915742001,0.3596805879995779,90.378,1.6373900721981194,0.0852703735285231,184.1,6.724637681159407,0.3269754768392419,9.4,-1.0526315789473606,0.0,130420.0,-0.1844467744774647,-0.0620684898966272,3.1,-20.512820512820507,0.3,49.99999999999998,-400.0,92.2549,7.667126099809418,0.3825760337224038,99.57851,2.8916308009537817,-0.0603480737994988,67.8,2.7272727272727337,-10.789473684210527,459200.0,4528600.0,0.18,0.0
2010-10-01,219.035,1.1666951489314623,0.348184629481163,221.83,0.6027183550187942,0.0536734758311396,10386.4,4.106568304148661,0.5742173504662329,90.881,1.3584198610352205,0.3190127163546385,186.6,6.506849315068486,0.919415900486742,9.4,-5.999999999999995,-1.0526315789473606,130620.0,0.4297983254011539,0.2148227712137407,2.1,-32.258064516129025,1.1,22.222222222222232,37.5,92.6033,5.734583682058547,-0.2692419117037326,99.74897,1.5951054588454028,0.1157239314781843,67.7,-4.107648725212454,-0.7331378299120228,446800.0,4363400.0,0.19,0.0
2011-01-01,221.187,1.7007834915029774,0.3243042200370194,222.803,0.9835337415527112,0.2068875566129779,10514.3,4.556438380684358,0.4135230636997278,91.542,1.5598650927487467,0.3002147521584897,192.7,5.937328202308945,1.5814443858724214,9.1,-7.142857142857151,-2.150537634408612,130839.0,0.80434531376401,0.0022929468953547,-0.9,-142.85714285714286,0.7,-799.9999999999999,16.666666666666675,93.3889,4.708166974437633,-0.216579265660588,100.2302,0.9650641227107348,0.1465776076975622,74.2,-0.268817204301075,-0.402684563758382,426800.0,3918400.0,0.17,-0.0099999999999999
2011-04-01,224.093,3.0772344447868694,0.4694098975099203,223.727,1.3155392125784535,0.1221727961907115,10652.1,4.613888807047539,0.3050933642193332,92.557,2.488096556306063,0.4242345333420161,203.1,10.1409978308026,1.957831325301207,9.1,-8.080808080808088,1.1111111111111072,131604.0,1.14437228605464,0.2483279757461209,2.7,-400.0,0.5,-44.44444444444444,-44.44444444444444,93.6571,3.5334681248321065,-0.3312815797651192,100.2247,0.4968353805269387,-0.0931038366954739,69.8,-3.3240997229917024,3.4074074074073923,420600.0,3770800.0,0.1,-0.04
2011-07-01,225.395,3.5798809769996165,0.2620036831757044,225.218,1.741483445742964,0.2318678041985267,10731.6,4.513980191077227,0.3440924561469272,92.977,2.875699838456258,0.1702237688404384,204.6,11.135252580119491,0.343305541932315,9.0,-4.255319148936176,-1.098901098901095,131992.0,1.2053366048152103,0.0424448217317463,-0.1,-103.7037037037037,-0.1,-133.33333333333334,-112.5,94.4958,2.4290308699050023,0.474751008247809,99.55637,-0.022233712876396,-0.2556817811802614,63.7,-6.047197640117985,-10.9090909090909,412600.0,3721600.0,0.07,-0.0199999999999999
2011-10-01,226.75,3.5222681306640524,0.0675207527019328,226.506,2.107920479646564,0.1715918237380487,10802.9,4.01005160594623,0.1826915943319074,93.329,2.693632332390705,0.0021430025608726,201.1,7.770632368703101,-1.276386843397148,8.8,-6.382978723404253,-2.2222222222222143,132557.0,1.4829275761751637,0.15943058347061,4.6,-4699.999999999999,0.6,-45.45454545454546,-40.0,95.6891,3.3322786552962835,0.699504548305474,99.2426,-0.5076443395856667,0.0160743106816463,60.8,-10.192023633678003,2.184873949579824,402400.0,3701600.0,0.07,-0.0099999999999999
