date,CPI,CPI_yoy,CPI_mom,coreCPI,coreCPI_yoy,coreCPI_mom,PCE,PCE_yoy,corePCE,corePCE_yoy,corePCE_mom,PPI,PPI_yoy,industrial production,interest rate,previous interest rate,next interest rate,previous change,present change
2009-04-01,0.6471533796549193,0.0835256841902389,0.5226238444306223,0.6538956916552647,0.2526575654434482,0.305595055152753,0.5835750971381471,0.12494212899688432,0.673981162332037,0.12273493934263452,0.5492949590028758,0.5576097209563345,0.11908851276041921,0.7871510775814476,0.15,0.18,0.18,-0.03,0.03
2009-05-01,0.648242412433762,0.05697525677742614,0.5355944094441338,0.654573776920273,0.24713864848512934,0.2385355106802933,0.5843606803359684,0.11420815723037156,0.6748290417119791,0.09953604104215476,0.5332229692098681,0.5643758631806441,0.0753558017460833,0.7773102944099192,0.18,0.15,0.21,0.03,0.03
2009-06-01,0.6543938819321459,0.04408101097566848,0.7262972061811034,0.6552861089158372,0.23854879380675495,0.24110634150992072,0.5868613849656823,0.11624704431948345,0.6796674838257794,0.09020193092889618,0.7365692537116599,0.5775101392631273,0.07422648656002856,0.7741838379635494,0.21,0.18,0.16,0.03,-0.0499999999999999
2009-07-01,0.6541712043032452,0.0,0.4861751060498296,0.6558032345472323,0.22671176478227795,0.22614761322299584,0.5882556923167892,0.12556485727388988,0.6797596446279468,0.057933356770531644,0.4946326816805081,0.5711420054049536,0.0,0.7859307135410432,0.16,0.21,0.16,-0.0499999999999999,0.0
2009-08-01,0.6566728482904273,0.02869460537479454,0.5880160871289669,0.6566011833691864,0.22074858709312417,0.24755086440960547,0.5931008075368598,0.15859882494554983,0.6821373933238716,0.08432392211472174,0.6104233032967499,0.58109221455835,0.1026400417174102,0.7970185925367184,0.16,0.16,0.15,0.0,-0.01
2009-09-01,0.6581202528782822,0.03509255565873125,0.5484248241599882,0.6580532447447595,0.2236856902269438,0.29735049705392047,0.5899625877466103,0.15388658466594787,0.6834645088750853,0.08990447931652833,0.5570022193590844,0.5775101392631273,0.11498376199063465,0.80565179643398,0.15,0.16,0.12,-0.01,-0.03
2009-10-01,0.6603748638709025,0.10481475255725697,0.5783380717387037,0.6600429797900613,0.23859748751636178,0.33804596946621934,0.5919738452530743,0.18811029648087516,0.6865887600685676,0.16463787659771503,0.6475298558570457,0.5818882312906217,0.2580012659450361,0.8079623523504793,0.12,0.15,0.12,-0.03,0.0
2009-11-01,0.6628973838857942,0.23402451983564798,0.5880199193278335,0.6606080508442348,0.23869419466495195,0.22953716479197422,0.5923440153462884,0.23018567602412718,0.6886531620371223,0.26902223433692296,0.5936843864739776,0.5906444153456106,0.42096744271736414,0.812122050351058,0.12,0.12,0.12,0.0,0.0
2009-12-01,0.6632905490743221,0.2883737440187958,0.5090250234428038,0.6613443555511881,0.24570063827864824,0.24248936509019267,0.5950956130391808,0.27110796870747333,0.689132398208394,0.314397882211491,0.5139812977057784,0.5934304739085615,0.5204120819291029,0.8156274007756865,0.12,0.12,0.11,0.0,-0.0099999999999999
2010-01-01,0.6637811357254941,0.27671213335336586,0.5126154639866186,0.6604950366334001,0.2257664506439379,0.12231777385182711,0.5952395680754308,0.2594435035720869,0.6909479660110961,0.3296890095334396,0.5809023458478525,0.6085547918217241,0.572706714424478,0.8266606539524104,0.11,0.12,0.13,-0.0099999999999999,0.02
2010-02-01,0.6630609127695182,0.24832871130415418,0.4679147863742373,0.6608306545928485,0.21533744904200497,0.21210999531064595,0.5967737174617519,0.27574746070063794,0.6909295338506627,0.31631732410868524,0.48904193604532536,0.6049727165265014,0.5896711750361765,0.8303205838221568,0.13,0.11,0.16,0.02,0.03
2010-03-01,0.6633114251020316,0.25647533632829855,0.5037517897114866,0.6610087375917396,0.20315632347794904,0.20015669012515375,0.5993484561101086,0.3069930304473391,0.6920999760381914,0.3348097074660163,0.548462095434327,0.6141269089476261,0.6443897199961829,0.8376543905792544,0.16,0.13,0.2,0.03,0.04
2010-04-01,0.6634853919996102,0.2516780119599809,0.5009218069313159,0.6611422998409079,0.19088244067715474,0.196779391148744,0.6004301753825012,0.31431755374810155,0.6925515639688128,0.3282754480906821,0.5125018572819147,0.6185050009751205,0.6445351247215618,0.8414328700986402,0.2,0.16,0.2,0.04,0.0
2010-05-01,0.6630922268110823,0.2393995160870952,0.47998026093697826,0.6616217540686914,0.18912995264245408,0.22298728638863835,0.6016023806776796,0.3166433830391695,0.6928188302950989,0.32296307649915046,0.5032951509336554,0.620097034439664,0.6226834343160909,0.8558529240503534,0.2,0.2,0.18,0.0,-0.02
2010-06-01,0.6627756070574891,0.18611050432356754,0.4828004482950332,0.6624162782175899,0.18977412590600282,0.24682330795628796,0.6024455458900009,0.30511081744707635,0.692468619246862,0.27635084508800317,0.472499259580626,0.6149229256798978,0.5508646563370799,0.8581995097623312,0.18,0.2,0.18,-0.02,0.0
2010-07-01,0.6641882182658283,0.19935546920836694,0.5467034542569368,0.6629950479639858,0.19025785217837457,0.23043908303895405,0.6039591302711435,0.30553843690444776,0.6931782574235527,0.2817727338329631,0.5253654247702868,0.6173109758767129,0.5848917325374868,0.8622859859204857,0.18,0.18,0.19,0.0,0.01
2010-08-01,0.665294647734429,0.1878395166943141,0.5353114759917295,0.6634950502301029,0.18765493551372311,0.2244517026963277,0.6055632006750717,0.28347340414796024,0.6943210513704311,0.2705933906326771,0.5469260277112677,0.6204950428057998,0.55748673651102,0.8662225316393906,0.19,0.18,0.19,0.01,0.0
2010-09-01,0.6665193746933833,0.1859142418722089,0.5396093628106298,0.6641868341873336,0.18107839096095388,0.23891382245362353,0.6063858008822145,0.30977926863241906,0.6951504985899397,0.2660606414976891,0.5312505296262349,0.6204950428057998,0.5715086268500635,0.8692408986993243,0.19,0.19,0.19,0.0,0.0
2010-10-01,0.66916367153658,0.18883749710700196,0.591741623377681,0.6645943702809496,0.16752571708026043,0.21741392518574662,0.6088248104963926,0.3120179235471896,0.697813945772584,0.26165140464992126,0.6224097822612314,0.6272611850301093,0.5793006147418283,0.8663352700316946,0.19,0.19,0.19,0.0,0.0
2010-11-01,0.6710947040997038,0.18387403899416055,0.5652647620426454,0.665686840985685,0.17196527797836844,0.26906195178709036,0.6107661469852494,0.32205120531385945,0.6994820562918179,0.2579568317012938,0.5726503754959149,0.6316392770576037,0.5613104921172644,0.8670942202396794,0.19,0.19,0.18,0.0,-0.01
2010-12-01,0.6741634801729927,0.20521700824438488,0.6066761209251518,0.6663512275584708,0.17131465696926929,0.23669965980668856,0.6123044093726062,0.3134888082557729,0.701380568816471,0.2702524485362581,0.5838842071859712,0.6395994443803209,0.5794635185116003,0.8778218012805685,0.18,0.19,0.17,-0.01,-0.0099999999999999
2011-01-01,0.6766512068083684,0.22110667668205605,0.5850720540327164,0.6679265771640454,0.1919084759331634,0.30521127626960787,0.6140853388210701,0.3239321978578551,0.7039057747958639,0.2761810772008559,0.6146053068910581,0.6515396953643966,0.5646797252714338,0.8754659175568544,0.17,0.18,0.16,-0.0099999999999999,-0.01
2011-02-01,0.679125016091938,0.24673133788042712,0.5842741891903288,0.6693306931168401,0.20093074707563738,0.2921067830410135,0.615167058093463,0.32059999534331285,0.7062558752511382,0.29674926502125043,0.6056150342295508,0.6638779547146082,0.622171895921155,0.8709982229175068,0.16,0.17,0.14,-0.01,-0.0199999999999999
2011-03-01,0.6831192960603456,0.2765991568207459,0.6389892354407484,0.670156039323239,0.20639484992091012,0.24852705772009687,0.6184204419127123,0.32417943870000426,0.7096566088511235,0.31590013334674616,0.6568533352633008,0.6774102391632272,0.6349440681563278,0.8822011648084203,0.14,0.16,0.1,-0.0199999999999999,-0.04
2011-04-01,0.6867621628956441,0.3042707142529094,0.625598678189528,0.6710909750674169,0.21316604488683838,0.2566665764298489,0.6197530542482834,0.325453704120789,0.7132600962158775,0.3431317769133325,0.666095421329058,0.6929325654425256,0.6725973908878258,0.8785830759914877,0.1,0.14,0.09,-0.04,-0.01
2011-05-01,0.6892429308551169,0.3273349770245556,0.5833592367241284,0.6726252285963243,0.22203753808192006,0.30140429909790867,0.6205797674564619,0.3229339297181625,0.7158498147567877,0.3631939883906445,0.6160094136567424,0.6969126491038842,0.6803690262438438,0.8799219896815313,0.09,0.1,0.09,-0.01,0.0
2011-06-01,0.6892429308551169,0.3299539230876719,0.4944969954492045,0.6744129079313459,0.23033435199535052,0.3200908952607743,0.6215093056905331,0.3232377319604628,0.7156747092326692,0.36479555895803234,0.48146625451029995,0.6961166323716125,0.6976578314826164,0.8831414262452653,0.09,0.09,0.07,0.0,-0.0199999999999999
2011-07-01,0.6912922609085943,0.3346402054360642,0.5676721115486077,0.6761971625933119,0.24043830301843028,0.3195258846674685,0.6230228900716757,0.32280774316727184,0.7171308499069177,0.3710885010383231,0.5606360888914729,0.6989026909345635,0.6981221492672655,0.8883308790456521,0.07,0.09,0.1,-0.0199999999999999,0.03
2011-08-01,0.6937660701921637,0.3452205133439399,0.5825980986325795,0.6784026520411163,0.25475963225177234,0.3505142228199615,0.623792021265354,0.31713937029954653,0.7191491714743885,0.3783755049988814,0.5877547429884326,0.6933305738086615,0.6663396234377725,0.8953229838714363,0.1,0.07,0.08,0.03,-0.02
2011-09-01,0.6954744251263869,0.34870220858152046,0.5551462446142139,0.6792793683433491,0.25620445622363847,0.25160708862261294,0.6251451986061038,0.3202270266884324,0.7203564779827843,0.38142652585925974,0.5483220347723167,0.6953206156393408,0.6732818224378312,0.8944745403004886,0.08,0.1,0.07,-0.02,-0.0099999999999999
2011-10-01,0.6960067638329778,0.3311592845170996,0.5133548941558025,0.6806081414889208,0.2639004480587509,0.28498551219381885,0.6259554598101394,0.30946179350449216,0.7203749101432179,0.3579564888144757,0.49085288327724524,0.6849723981198085,0.6117447716444903,0.9022000258019824,0.07,0.08,0.08,-0.0099999999999999,0.0099999999999999
2011-11-01,0.6974646064346876,0.32687943657018825,0.5461056754033409,0.6819540379997703,0.2658394687172402,0.28608202661400395,0.6261158668505322,0.2979904305696718,0.7221351814646194,0.3583623853151468,0.5749300347693314,0.6861664232182161,0.5996338566367806,0.9020686913862057,0.08,0.07,0.07,0.0099999999999999,-0.0099999999999999
2011-12-01,0.6976524906840726,0.3033542999173344,0.5011359656171265,0.6836869225659024,0.2747046313978679,0.3144481503110086,0.6265682969644608,0.29097484775297644,0.7226328497963246,0.3459107158558444,0.5139361461489845,0.6797982893600424,0.5489392434686162,0.9079159785169437,0.07,0.08,0.08,-0.0099999999999999,0.0099999999999999
2012-01-01,0.6998062008760972,0.3001339274005706,0.5705811787400088,0.6853033682481442,0.2747485235046286,0.3055961531544732,0.6298175677826745,0.2996058711227235,0.7255819954656886,0.34898964847466873,0.631943324830446,0.6833803646552651,0.5188342864900755,0.9146407655053062,0.08,0.07,0.1,0.0099999999999999,0.02
2012-02-01,0.7015006384585141,0.2934522974552478,0.5541938159111766,0.6858410419178728,0.2672234866656859,0.22613746439943294,0.6335357207189596,0.31547093994001385,0.7275173723112086,0.34493910095257685,0.5828200949052066,0.6869624399504878,0.48830164720255353,0.9182053907547545,0.1,0.08,0.13,0.02,0.03
2012-03-01,0.7031637619993667,0.27440193909244154,0.5529656157238266,0.6873615967545579,0.2728910341124018,0.29823182783326924,0.6338112917883523,0.2965797609448553,0.7291762667502258,0.32942263358407525,0.5693772036601779,0.69731065747002,0.4766935233243158,0.9123325340917412,0.13,0.1,0.14,0.03,0.01
2012-04-01,0.7044859104209651,0.25568939969912563,0.540881221371245,0.6888239321492977,0.27712265397440494,0.29375129901664293,0.6348230900431379,0.2943566385435738,0.7303190606971044,0.3079158484581386,0.5445661684949732,0.6953206156393408,0.4198392617201708,0.9203532314658665,0.14,0.13,0.16,0.01,0.0199999999999999
2012-05-01,0.7028367042319187,0.22335181992730885,0.43673470773358714,0.6899164028540331,0.27314207513747324,0.266514979016071,0.6343418689219593,0.28629367531691197,0.7293421561941276,0.27741267617770377,0.4433476997727195,0.6881564650488954,0.38458294298276013,0.9227765257746696,0.16,0.14,0.16,0.0199999999999999,0.0
2012-06-01,0.7021791093590711,0.21827222909176291,0.4714174645555954,0.6912828474032163,0.2693021590536101,0.2864030450109687,0.6336426587458881,0.27631196019407434,0.728899784343723,0.27518244636715117,0.46883054423184417,0.6797982893600424,0.36063364283154864,0.9229775952784696,0.16,0.16,0.16,0.0,0.0
2012-07-01,0.702408745663875,0.2039916140901284,0.5025631797716132,0.6924712089535084,0.2640307578652797,0.2732528312702102,0.6347531690255307,0.273642979351933,0.7292131310710929,0.2653736186884894,0.5049397170651707,0.6809923144584499,0.35579124288997555,0.9252393366333527,0.16,0.16,0.13,0.0,-0.03
2012-08-01,0.7070293064635661,0.2202095378983414,0.6567515404857354,0.6933718979671305,0.2528449028393406,0.25219112625312523,0.6363654654315305,0.27857081004386325,0.7321346284998065,0.27271914439518447,0.629547189301773,0.6913405319779822,0.40593814891794433,0.920613575794486,0.13,0.16,0.14,-0.03,0.01
2012-09-01,0.7108461401964433,0.23614702893334188,0.6277538869434316,0.6948308086888147,0.2575183525700001,0.2926860557789357,0.6383931749421372,0.2823689160325674,0.7347888596022341,0.2846997212972734,0.6163527454973647,0.6981066742022918,0.4210772197270998,0.9200126917860201,0.14,0.13,0.16,0.01,0.0199999999999999
2012-10-01,0.7130137677402744,0.24859103335782254,0.5698158818587122,0.6960808143541076,0.2566479376476661,0.2773357134284731,0.6397134482746012,0.28526457251143494,0.7373785781431442,0.30625899785825406,0.6129065077356258,0.6945245989070691,0.4428933322610377,0.9236086978250788,0.16,0.14,0.16,0.0199999999999999,0.0
2012-11-01,0.7116603052771118,0.22686077048743333,0.4475945142088346,0.6971287643091203,0.2539717127410037,0.2625579563437531,0.6413997786992438,0.29432693363620177,0.7367795329290546,0.2862238252670175,0.4616082710674272,0.6877584566827596,0.41735389910259085,0.9279938726102657,0.16,0.16,0.16,0.0,0.0
2012-12-01,0.7115628838144678,0.22465458083230117,0.4911153023476569,0.6984815101660811,0.25056819572341826,0.28450411301756445,0.6415149427282438,0.2922268339912895,0.7366412917258032,0.2808345592091986,0.4834152511377001,0.686564431584352,0.43409839740987516,0.931248176718011,0.16,0.16,0.14,0.0,-0.0199999999999999
2013-01-01,0.7131564205962889,0.2200963635073348,0.549818531030554,0.700207545386102,0.2512153781476085,0.31129213627957175,0.6444433994656718,0.2896861132480585,0.7383094022450373,0.26975760637588986,0.5689870398033278,0.6905445152457105,0.43527958120352456,0.9310761635008873,0.14,0.16,0.15,-0.0199999999999999,0.0099999999999999
2013-02-01,0.7175334277393697,0.2402811262364161,0.6461496423434024,0.7013719342250048,0.25626949340429706,0.2705537944818574,0.6460104528602787,0.2763685051351856,0.7414336534385196,0.2794082321132954,0.6376880357072923,0.697708665836156,0.44663762026180087,0.9365364208930973,0.15,0.14,0.14,0.0099999999999999,-0.0099999999999999
2013-03-01,0.7152544613810884,0.2101081957484599,0.41596279154026167,0.7021424856625141,0.24988487602225073,0.24209578227725367,0.6459940008561358,0.2746135927873912,0.7402724273312075,0.25577831024941927,0.43525123889239675,0.6965146407377484,0.4097407177141454,0.9412272678141187,0.14,0.15,0.15,-0.0099999999999999,0.0099999999999999
2013-04-01,0.7135669824745746,0.1871525813174036,0.43618173690271866,0.7022726232386268,0.23877840944468098,0.19601097204979212,0.6456238307629216,0.2663782706813633,0.7393784675501817,0.23877306308478102,0.4477880866273996,0.6945245989070691,0.40973454583804925,0.9400359600603907,0.15,0.14,0.11,0.0099999999999999,-0.0399999999999999
2013-05-01,0.7139009989179258,0.20235288570792365,0.5060639610964636,0.7028342696197447,0.23429602350536038,0.22702007686076436,0.6472895961823856,0.2790053717313486,0.7400235931653549,0.2523188912788267,0.5204297267147703,0.6969126491038842,0.4402288667245111,0.9411261519364853,0.11,0.15,0.09,-0.0399999999999999,-0.02
2013-06-01,0.715821593467195,0.22201357072436262,0.560979513820997,0.704046603881426,0.2328581710368055,0.2737208149909527,0.6482273604185282,0.2887137590816107,0.7419774021713086,0.27226033887414014,0.5821656758898874,0.697708665836156,0.47007552720277346,0.9432623701329266,0.09,0.11,0.09,-0.02,0.0
2013-07-01,0.7174046922351615,0.23226539311906386,0.5491667610094538,0.7058616806008924,0.23779640993200019,0.3168090181832613,0.6493872267105996,0.2887928033718697,0.7430741157171032,0.2787233975372396,0.5416036618930985,0.6981066742022918,0.467422897746529,0.9395036488884809,0.09,0.09,0.08,0.0,-0.0099999999999999
2013-08-01,0.7193392041362369,0.21132034028498775,0.5611717348085643,0.7074233315142446,0.24303938272366193,0.2983830945369005,0.6507856470627421,0.2872439200102612,0.7443827991078834,0.2649958306818136,0.5515080487136258,0.69731065747002,0.43125285974618693,0.9463725550587576,0.08,0.09,0.08,-0.0099999999999999,0.0
2013-09-01,0.7196453858759755,0.1844896700501446,0.5050246992054872,0.7086699125064818,0.24110761062792313,0.27566832464530017,0.6524020564697774,0.2844862996061118,0.7447698744769875,0.24599011598740025,0.5081396324609874,0.6961166323716125,0.4059752349714726,0.9525475971032045,0.08,0.08,0.09,0.0,0.0099999999999999
2013-10-01,0.7200803031199223,0.17132221824395172,0.5094454853490934,0.7094267652517687,0.23693945993459797,0.24061578734135466,0.6545449300093843,0.28900802548466076,0.7459403166645162,0.23407625780430485,0.5449013011900561,0.6905445152457105,0.3996397828355088,0.9511842761323526,0.09,0.08,0.08,0.0099999999999999,-0.0099999999999999
2013-11-01,0.7215798977770509,0.19283573918296198,0.5460118162924361,0.7109267720501202,0.24045010344031878,0.29349730913107247,0.6571978156774195,0.2942611298690015,0.7472582161355132,0.24989832707027526,0.5517408947424709,0.6853704064859443,0.4046221612738068,0.9541422061159996,0.08,0.09,0.09,-0.0099999999999999,0.0099999999999999
2013-12-01,0.7237336079690756,0.209751186405911,0.568346104291094,0.7122966412723589,0.24039816869132197,0.2840464830093708,0.6584605069953836,0.3008467407074441,0.7488065176119293,0.2637921629031757,0.5624333635343838,0.6885544734150312,0.4186254258674317,0.9566503447818977,0.09,0.08,0.07,0.0099999999999999,-0.0199999999999999
2014-01-01,0.7257133512635215,0.2124652418693272,0.5622018865309428,0.7129884252295896,0.23182983313388691,0.23575526115500967,0.6578682348462408,0.2800823190673403,0.7506497336552818,0.26504033854783127,0.5760868807841134,0.6957186240054767,0.42873609187407713,0.9521861368969513,0.07,0.09,0.07,-0.0199999999999999,0.0
2014-02-01,0.7266144997929793,0.18604489155364756,0.5252406866675028,0.7137555519940433,0.22848585204171531,0.2410559835501986,0.6602578884479904,0.2845144262119677,0.7510736733452528,0.24257825642735836,0.5097306094276792,0.7032807829620579,0.4298474810356672,0.9609867050054683,0.07,0.07,0.08,0.0,0.0099999999999999
2014-03-01,0.7282880613476866,0.2157844370799359,0.551529641679844,0.715262408138506,0.23430300390590608,0.2934107723432723,0.6637703913324897,0.3046438851524201,0.752502165778851,0.26390779879939047,0.5565391748322055,0.7084548917218241,0.4500084516565246,0.9725673786231737,0.08,0.07,0.09,0.0099999999999999,0.0099999999999999
