date,CPI,CPI_yoy,CPI_mom,coreCPI,coreCPI_yoy,coreCPI_mom,PCE,PCE_yoy,PCE_mom,corePCE,corePCE_yoy,corePCE_mom,PPI,PPI_yoy,PPI_mom,unemployment,unemployment_yoy,unemployment_mom,Nonfarm,Nonfarm_yoy,Nonfarm_mom,job openings,retail,retail_yoy,retail_mom,industrial production,industrial production_yoy,industrial production_mom,OECD leading,OECD leading_yoy,OECD leading_mom,consumer sentiment,consumer sentiment_yoy,consumer sentiment_mom,initial claims,continued claims,interest rate,previous interest rate,next interest rate,previous change,present change
2002-04-01,179.3,1.643990929705219,0.4481792717086819,189.7,2.485143165856285,0.2642706131078309,7312.5,4.401644727449239,0.9539718916530936,76.08,1.1877053213986466,0.4184100418409997,130.8,-4.105571847507328,0.7704160246533087,5.9,34.09090909090908,3.5087719298245723,130616.0,-1.388396059038921,-0.0795593635250946,3471.0,1.6,0.0,-633.3333333333334,89.5507,-1.308927642541624,0.4759527188883394,99.5098,1.0877905187771653,0.0826329579983964,93.0,5.203619909502266,-2.8213166144200663,429250.0,3689250.0,1.75,1.73,1.75,0.02,0.0
2002-05-01,179.5,1.2408347433727984,0.1115448968209698,190.0,2.5364274150026844,0.1581444385872599,7288.9,3.3476066243194103,-0.322735042735045,76.13,0.9882602639782244,0.0657202944269075,130.8,-4.385964912280704,0.0,5.8,34.88372093023256,-1.6949152542372947,130632.0,-1.3435439653805226,0.0122496478226263,3457.0,-1.3,-750.0,-181.25,89.9348,-0.361065225507895,0.4289190369254347,99.45938,1.061621046229022,-0.0506683763810134,96.9,5.326086956521747,4.193548387096779,409000.0,3712000.0,1.75,1.75,1.75,0.0,0.0
2002-06-01,179.6,1.0692177827799745,0.0557103064066755,190.2,2.2580645161290214,0.1052631578947416,7322.5,3.575823585159199,0.4609749070504598,76.225,0.9362006409068035,0.12478654932353,130.9,-3.394833948339482,0.0764525993883769,5.8,28.888888888888875,0.0,130682.0,-1.2199915341355785,0.0382754608365454,3412.0,0.8,-300.0,-161.53846153846155,90.6736,0.9940845010809608,0.8214840084149744,99.28414,0.9054688930802524,-0.1761925320668655,92.4,-0.2159827213822795,-4.643962848297212,387200.0,3635200.0,1.75,1.75,1.73,0.0,-0.02
2002-07-01,180.0,1.465614430665152,0.222717149220486,190.5,2.1995708154506355,0.1577287066246047,7387.3,4.306510596840019,0.8849436667804689,76.393,1.1921635118487872,0.2204001311905568,131.2,-1.6491754122938684,0.2291825821237436,5.8,26.086956521739136,0.0,130585.0,-1.2014556679503352,-0.0742259836855829,3367.0,1.0,-433.33333333333337,25.0,90.6436,1.578300939539545,-0.0330857052107669,99.03129,0.6898737381902054,-0.2546731028742477,88.1,-4.653679653679665,-4.653679653679665,386000.0,3504250.0,1.73,1.75,1.74,-0.02,0.01
2002-08-01,180.5,1.747463359639223,0.2777777777777768,191.1,2.3567220139260936,0.3149606299212459,7412.6,4.084698878076876,0.342479661039885,76.543,1.402946319749887,0.1963530689984782,131.5,-1.4242878560719707,0.2286585365853799,5.7,16.326530612244895,-1.724137931034475,130587.0,-1.088438465733499,0.0015315694758211,3517.0,0.8,14.285714285714302,-20.0,90.5505,1.5629731821393822,-0.1027099541501042,98.76104,0.4732140886053448,-0.272893547079911,87.6,-4.262295081967215,-0.5675368898978461,393600.0,3516800.0,1.74,1.73,1.75,0.01,0.01
2002-09-01,180.8,1.516002245929271,0.1662049861495873,191.3,2.2447888829503,0.1046572475144058,7391.5,5.487369773084061,-0.2846504600275246,76.681,1.9328166748640685,0.1802908169264316,132.3,-0.750187546886727,0.6083650190114254,5.7,14.000000000000012,0.0,130498.0,-0.9615603536599292,-0.0681537978512447,3301.0,-1.4,-26.315789473684216,-275.0,90.6373,2.213027587287941,0.0958581123240653,98.51003,0.2555696984629652,-0.254158927447512,86.1,5.256723716381417,-1.7123287671232834,409500.0,3555000.0,1.75,1.74,1.75,0.01,0.0
2002-10-01,181.2,2.027027027027017,0.221238938053081,191.5,2.187833511205972,0.1045478306325176,7435.2,3.08197812253046,0.5912196441858919,76.821,1.7604514385630263,0.1825745621470753,133.2,2.225633154259388,0.680272108843516,5.7,7.547169811320753,0.0,130621.0,-0.6321699175364404,0.0942543180738386,3479.0,0.4,-94.02985074626866,-128.57142857142858,90.3988,2.255186635160178,-0.2631366997913664,98.31223,0.0079752287766687,-0.2007917366383949,80.6,-2.539298669891188,-6.387921022067367,407500.0,3555750.0,1.75,1.75,1.34,0.0,-0.4099999999999999
2002-11-01,181.5,2.2535211267605604,0.16556291390728,191.9,2.020202020202033,0.2088772845953102,7463.8,3.919357308940041,0.3846567678071899,76.897,1.9299850214074648,0.0989312818109766,133.1,2.542372881355925,-0.0750750750750706,5.9,7.272727272727275,3.5087719298245723,130617.0,-0.3995699285501919,-0.0030622947305603,3514.0,0.7,-128.0,74.99999999999997,90.8947,3.423412147554794,0.5485692287950705,98.18129,-0.2785723833168885,-0.1331879055128659,84.2,0.3575685339689993,4.466501240694809,392200.0,3482400.0,1.34,1.75,1.24,-0.4099999999999999,-0.1
2002-12-01,181.8,2.480270574971821,0.1652892561983643,192.1,1.9639065817409709,0.1042209484106271,7519.9,4.928349170468982,0.7516278571237045,76.971,2.13367302257077,0.0962326228591381,132.9,3.74707259953162,-0.1502629601803029,6.0,5.263157894736836,1.6949152542372836,130469.0,-0.3931777927075108,-0.1133083748669827,3169.0,0.8,-166.66666666666669,14.285714285714302,90.3906,2.889866798403684,-0.5545977928306023,98.0932,-0.6082366729558419,-0.0897217789662452,86.7,-2.3648648648648574,2.9691211401425166,414250.0,3482750.0,1.24,1.34,1.24,-0.1,0.0
2003-01-01,182.6,2.757456387169399,0.4400440044004305,192.4,1.9607843137255048,0.1561686621551317,7541.3,4.964785791832527,0.2845782523703821,77.201,2.34651535840702,0.2988138389782957,135.3,5.2918287937743225,1.8058690744920949,5.8,1.754385964912264,-3.3333333333333326,130580.0,-0.208631059280262,0.0850776812882703,3441.0,0.4,-500.0,-50.0,91.1369,3.022153794676674,0.8256389491827498,98.02883,-0.950164293537792,-0.0656212663059152,82.4,-11.397849462365585,-4.959630911188007,395000.0,3414500.0,1.24,1.24,1.26,0.0,0.02
