date,CPI,CPI_yoy,CPI_mom,PPI,PPI_yoy,PPI_mom,unemployment,unemployment_yoy,unemployment_mom,Nonfarm,Nonfarm_yoy,Nonfarm_mom,interest rate,previous interest rate,next interest rate,previous change,present change
1976-09-01,57.6,5.494505494505497,0.523560209424101,61.8,4.040404040404044,0.6514657980456029,7.6,-9.523809523809534,-2.564102564102566,79892.0,3.449526078624343,0.2358727290976636,5.25,5.29,5.02,-0.04,-0.2300000000000004
1976-10-01,57.9,5.464480874316946,0.5208333333333259,61.9,3.511705685618738,0.1618122977346203,7.7,-8.333333333333337,1.3157894736842255,79911.0,3.0577766314160426,0.0237821058428844,5.02,5.25,4.95,-0.2300000000000004,-0.0699999999999994
1976-11-01,58.1,5.063291139240511,0.3454231433505983,62.0,4.201680672268915,0.1615508885298933,7.8,-6.024096385542177,1.298701298701288,80240.0,3.288923215549988,0.4117080251780036,4.95,5.02,4.65,-0.0699999999999994,-0.2999999999999998
1976-12-01,58.4,5.035971223021574,0.5163511187607606,62.5,4.690117252931314,0.8064516129032251,7.8,-4.878048780487799,0.0,80448.0,3.115987541176924,0.2592223330009968,4.65,4.95,4.61,-0.2999999999999998,-0.04
1977-01-01,58.7,5.197132616487465,0.5136986301369939,62.8,4.841402337228717,0.4799999999999915,7.5,-5.063291139240511,-3.846153846153844,80690.0,2.785880794364548,0.3008154335719881,4.61,4.65,4.68,-0.04,0.0699999999999994
1977-02-01,59.3,6.082289803220031,1.0221465076660996,63.5,6.010016694490816,1.1146496815286566,7.6,-1.2987012987013102,1.3333333333333195,80988.0,2.755785627283802,0.3693146610484588,4.68,4.61,4.69,0.0699999999999994,0.0100000000000006
1977-03-01,59.6,6.428571428571428,0.5059021922428464,64.1,6.8333333333333135,0.94488188976376,7.4,-2.631578947368407,-2.631578947368407,81391.0,2.964021860135624,0.4976045833950726,4.69,4.68,4.73,0.0100000000000006,0.04
1977-04-01,60.0,6.951871657754016,0.6711409395973034,64.9,7.095709570957109,1.2480499219968966,7.2,-6.493506493506496,-2.7027027027027084,81728.0,3.072188871512882,0.4140506935656374,4.73,4.69,5.35,0.04,0.6199999999999992
1977-05-01,60.2,6.737588652482285,0.333333333333341,65.2,7.236842105263164,0.4622496147919763,7.0,-5.405405405405405,-2.777777777777779,82088.0,3.500100867460154,0.4404855129209073,5.35,4.73,5.39,0.6199999999999992,0.04
1977-06-01,60.5,6.701940035273357,0.4983388704318914,65.0,6.209150326797386,-0.306748466257678,7.2,-5.263157894736836,2.857142857142869,82488.0,3.920580528119322,0.4872819413312523,5.39,5.35,5.42,0.04,0.0300000000000002
1977-07-01,60.8,6.666666666666665,0.4958677685950263,65.1,5.681818181818166,0.1538461538461488,6.9,-11.538461538461531,-4.166666666666663,82834.0,4.132148289690374,0.4194549510231793,5.42,5.39,5.9,0.0300000000000002,0.4800000000000004
1977-08-01,61.1,6.631762652705064,0.4934210526315929,65.0,5.863192182410426,-0.1536098310291778,7.0,-10.256410256410254,1.4492753623188248,83075.0,4.22939877546924,0.2909433324480348,5.9,5.42,6.14,0.4800000000000004,0.2399999999999993
1977-09-01,61.3,6.423611111111094,0.3273322422258529,65.3,5.663430420711979,0.4615384615384466,6.8,-10.526315789473683,-2.857142857142858,83532.0,4.556150803584846,0.5501053265121847,6.14,5.9,6.47,0.2399999999999993,0.33
1977-10-01,61.6,6.390328151986191,0.4893964110930016,65.6,5.977382875605808,0.4594180704440953,6.8,-11.688311688311693,0.0,83800.0,4.866664163882328,0.3208351290523437,6.47,6.14,6.51,0.33,0.04
