date,CPI,CPI_yoy,CPI_mom,coreCPI,coreCPI_yoy,coreCPI_mom,PCE,PCE_yoy,PCE_mom,corePCE,corePCE_yoy,corePCE_mom,PPI,PPI_yoy,PPI_mom,PPIfd,PPIfd_yoy,PPIfd_mom,corePPIfd,corePPIfd_yoy,corePPIfd_mom,unemployment,unemployment_yoy,unemployment_mom,Nonfarm,Nonfarm_yoy,Nonfarm_mom,AHE,AHE_yoy,AHE_mom,job openings,job openings_yoy,job openings_mom,GDP,GDP_yoy,GDP_mom,retail,retail_yoy,retail_mom,industrial production,industrial production_yoy,industrial production_mom,OECD leading,OECD leading_yoy,OECD leading_mom,consumer sentiment,consumer sentiment_yoy,consumer sentiment_mom,initial claims,continued claims,interest rate,previous interest rate,next interest rate,previous change,present change
1979-08-01,73.7,11.836115326251884,0.9589041095890538,72.7,9.984871406959162,1.112656467315709,1615.6,11.65169315825847,1.8599079503183846,35.575,9.269895874927059,0.7647641977057251,79.6,13.06818181818179,0.5050505050504972,,,,,,,6.0,1.6949152542372836,5.263157894736836,90300.0,3.220054181955345,0.0920003990378726,,,,,,,,,,,,,51.3658,1.434656482218366,-0.6519943755572744,99.80067,-2.1661810952608773,-0.22507193144170046,64.5,-17.729591836734706,6.788079470198682,393750.0,2458250.0,10.94,10.47,11.43,0.46999999999999886,0.4900000000000002
1979-09-01,74.4,11.879699248120312,0.9497964721845387,73.3,9.8950524737631,0.8253094910591452,1633.9,12.457842934820018,1.132706115375104,35.889,9.611508154663762,0.8826423049894672,80.9,13.94366197183099,1.633165829145744,,,,,,,5.9,-1.6666666666666607,-1.6666666666666607,90327.0,3.0883007498202497,0.02990033222591837,,,,,,,,,,,,,51.3623,1.1803849646692122,-0.006813872265210019,99.5807,-2.308938208238054,-0.2204093419412967,66.7,-17.03980099502488,3.4108527131782918,385800.0,2428200.0,11.43,10.94,13.77,0.4900000000000002,2.34
1979-10-01,75.2,12.071535022354718,1.0752688172043001,74.0,10.119047619047606,0.9549795361528002,1641.6,11.909468948121882,0.4712650713017741,36.182,9.632457655364668,0.8164061411574552,82.1,14.345403899721454,1.4833127317676054,,,,,,,6.0,3.4482758620689724,1.6949152542372836,90481.0,2.870753558597472,0.1704916580867355,,,,,,,1.0,-81.81818181818181,-66.66666666666667,,,,51.7175,1.104935652942296,0.6915578157520308,99.34786,-2.40849432758643,-0.23382040897482748,62.1,-21.689785624211844,-6.896551724137934,402250.0,2490000.0,13.77,11.43,13.18,2.34,-0.5899999999999999
1979-11-01,76.0,12.592592592592599,1.0638297872340496,74.8,10.650887573964507,1.08108108108107,1657.3,11.934350938808592,0.9563840155945469,36.433,9.77101536607412,0.6937151069592584,82.6,14.563106796116498,0.6090133982947554,,,,,,,5.9,0.0,-1.6666666666666607,90573.0,2.46857711757984,0.10167880549507569,,,,,,,,,,,,,51.6341,0.17169263719889472,-0.16126069512254482,99.09998,-2.485700031783167,-0.249507135835636,63.3,-15.600000000000003,1.9323671497584405,413250.0,2602500.0,13.18,13.77,13.78,-0.5899999999999999,0.5999999999999996
1979-12-01,76.9,13.254786450662737,1.1842105263157876,75.7,11.32352941176471,1.2032085561497485,1666.3,11.346475108586706,0.5430519519700638,36.739,10.178437546858587,0.8398978947657287,83.4,14.71801925722147,0.9685230024213176,,,,,,,6.0,0.0,1.6949152542372836,90672.0,2.256656629563225,0.1093040972475201,,,,,,,,,,,,,51.6694,-0.26367602208237084,0.06836567307264563,98.84312,-2.5658748833124245,-0.2591927869208477,61.0,-7.715582450832059,-3.63349131121643,428200.0,2698800.0,13.78,13.18,13.82,0.5999999999999996,0.040000000000000924
1980-01-01,78.0,13.868613138686126,1.4304291287386084,76.7,11.970802919708024,1.3210039630118908,1697.3,12.972577209797652,1.8604092900438074,37.124,10.497961127481625,1.047932714554034,85.2,15.44715447154472,2.1582733812949506,,,,,,,6.3,6.7796610169491345,5.000000000000004,90800.0,2.2430411674623896,0.14116816657843145,,,,,,,1.3,85.71428571428574,30.000000000000004,,,,51.944,0.8131974769529426,0.5314557552439148,98.57851,-2.6736903005925905,-0.26770704931208256,67.0,-7.073509015256585,9.836065573770503,414250.0,2781750.0,13.82,13.78,14.13,0.040000000000000924,0.3100000000000005
1980-02-01,79.0,14.161849710982644,1.2820512820512775,77.5,11.994219653179194,1.04302477183833,1701.4,12.096455395967865,0.24156012490426093,37.526,11.10255802936997,1.0828574507057542,86.9,16.021361815754332,1.9953051643192499,,,,,,,6.3,6.7796610169491345,0.0,90883.0,2.0526640839930277,0.09140969162995116,,,,,,,,,,,,,51.9633,0.3578740005407699,0.037155398121035965,98.29086,-2.8090499813609338,-0.2917978776510233,66.9,-9.472259810554807,-0.14925373134327957,418000.0,2868500.0,14.13,13.82,17.19,0.3100000000000005,3.0600000000000005
1980-03-01,80.1,14.592274678111572,1.3924050632911245,78.6,12.60744985673352,1.4193548387096744,1708.2,11.559561128526653,0.3996708592923337,37.987,11.595182138660398,1.228481586100294,87.5,15.435356200527718,0.690448791714604,,,,,,,6.3,8.62068965517242,0.0,90994.0,1.6931347019971232,0.1221350527601528,,,,,,,,,,,,,51.7454,-0.3712104000523797,-0.4193344148658795,98.01623000000001,-2.9095276538208203,-0.2794054299657067,56.5,-17.397660818713454,-15.545590433482815,433800.0,2881200.0,17.19,14.13,17.61,3.0600000000000005,0.41999999999999815
1980-04-01,80.9,14.589235127478762,0.998751560549338,79.5,13.086770981507833,1.1450381679389388,1695.2,10.192407696307848,-0.7610350076103556,38.185,11.019043465619994,0.5212309474293741,87.8,14.174252275682697,0.34285714285713365,,,,,,,6.9,18.965517241379317,9.523809523809534,90849.0,1.601485176196915,-0.1593511660109459,,,,,,,-8.0,-2100.0,-715.3846153846154,,,,50.7197,-1.1795398352852593,-1.9822051815233666,97.86433000000001,-2.8540641952759294,-0.15497433435258667,52.7,-20.15151515151514,-6.725663716814156,529750.0,3126500.0,17.61,17.19,10.98,0.41999999999999815,-6.629999999999999
1980-05-01,81.7,14.425770308123242,0.9888751545117369,80.1,13.13559322033897,0.7547169811320753,1700.1,9.064665127020778,0.2890514393581789,38.482,10.736381686857932,0.777792326829907,88.3,13.935483870967747,0.5694760820045497,,,,,,,7.5,33.928571428571445,8.695652173913038,90420.0,0.70275868981724,-0.4722121322193962,,,,,,,,,,,,,49.4766,-4.44511396688182,-2.4509214368381604,97.91743000000001,-2.5758285798999525,0.054258788672023606,51.7,-24.08223201174742,-1.8975332068311146,615800.0,3544800.0,10.98,17.61,9.47,-6.629999999999999,-1.5099999999999998
1980-06-01,82.5,14.265927977839322,0.9791921664626724,81.0,13.604488078541376,1.1235955056179803,1718.8,9.08167798438788,1.0999352979236487,38.725,10.522860893886655,0.631464061119491,88.7,13.717948717948714,0.45300113250283935,,,,,,,7.6,33.33333333333333,1.3333333333333197,90101.0,-0.007768455631018689,-0.35279805352798066,,,,,,,,,,,,,48.8383,-5.692989485676769,-1.2901048172267338,98.20581,-2.053259129602203,0.2945134487291945,58.7,-10.790273556231,13.539651837524168,607000.0,3832500.0,9.47,10.98,9.03,-1.5099999999999998,-0.4400000000000013
1980-07-01,82.6,13.15068493150684,0.12121212121212199,80.8,12.37830319888733,-0.24691358024692134,1747.1,10.150684067839343,1.6464975564347117,39.026,10.539583628381255,0.777275661717236,90.3,14.015151515151514,1.8038331454340417,,,,,,,7.8,36.8421052631579,2.6315789473684292,89840.0,-0.41788133056962495,-0.2896749203671445,,,,,,,-0.5,-116.66666666666667,-93.75,,,,48.4907,-6.212804310783349,-0.7117364855041997,98.66565,-1.3597991718136804,0.46824113563137537,62.3,3.14569536423841,6.132879045996575,559250.0,3845500.0,9.03,9.47,9.61,-0.4400000000000013,0.5800000000000001
