date,CPI,CPI_yoy,CPI_mom,coreCPI,coreCPI_yoy,coreCPI_mom,PCE,PCE_yoy,PCE_mom,corePCE,corePCE_yoy,corePCE_mom,PPI,PPI_yoy,PPI_mom,unemployment,unemployment_yoy,unemployment_mom,Nonfarm,Nonfarm_yoy,Nonfarm_mom,industrial production,industrial production_yoy,industrial production_mom,OECD leading,OECD leading_yoy,OECD leading_mom,consumer sentiment,consumer sentiment_yoy,consumer sentiment_mom,initial claims,continued claims,interest rate,previous interest rate,next interest rate,previous change,present change
1984-07-01,0.26926596407235626,0.3786698523703287,0.6022271439600284,0.26448981719556225,0.4625466184698568,0.4608374588599643,0.28423499475995156,0.4218517741989209,0.4508073795256122,0.30763275763552245,0.429258137123664,0.63845203939091,0.2993022913341639,0.4857492471594382,0.4967017741611236,0.41836734693877553,0.11851579179857177,0.5030684754521962,0.4177505112474437,0.7315209041857846,0.32728915766652367,0.4229990969306101,0.6748172788191172,0.4251549217812537,0.7154604681848706,0.3660789124213353,0.33427705419088016,0.7516129032258063,0.5119408201304754,0.4466113029727189,0.08326754284122045,0.06979608736155678,11.23,11.06,11.64,0.1699999999999999,0.4100000000000001
1984-08-01,0.2703097654578287,0.3778896632019396,0.5749841453092392,0.265859686417801,0.4679431637927427,0.4049568767776899,0.28495888294223715,0.42217066186328484,0.4998160755283572,0.30900595358782,0.42030523073748716,0.6173966570315184,0.29771025786962046,0.4626917842442956,0.44490197145800847,0.41836734693877553,0.11593516663631402,0.40697674418604624,0.41995910020449895,0.7593610570945746,0.3119198841067238,0.4237568848871279,0.6442364510798455,0.4106899607689478,0.6885993331841043,0.33197373239581945,0.3447761796753521,0.7919354838709676,0.567226193123165,0.4781028639081697,0.09673524357962199,0.07149104647552014,11.64,11.23,11.3,0.4100000000000001,-0.3399999999999998
1984-09-01,0.27135356684330103,0.3771141365186177,0.5747528603958445,0.26722955564003975,0.46659387759518434,0.40412841437151903,0.28584729116595126,0.4288644417008588,0.509957074485145,0.30961421488212637,0.4042746426390997,0.5462374843438239,0.29611822440507707,0.4474915642151307,0.44476898078627475,0.3979591836734694,0.11716563863397028,0.3454780361757102,0.4227948193592365,0.717233477545875,0.327330971502651,0.42196353087346683,0.595197580898399,0.373981390690206,0.6673460491747267,0.3061909887986577,0.3601978876434931,0.8209677419354839,0.6033072149544135,0.4611825309910299,0.09947522407467607,0.074029603560708,11.3,11.64,9.99,-0.3399999999999998,-1.3100000000000005
1984-10-01,0.2727453020239309,0.37608728174348116,0.6011982027135061,0.26859942486227856,0.4585829161512822,0.403306216331391,0.28574446614005844,0.3983841150752825,0.4469558358783568,0.310674064107054,0.40920846016104545,0.5878841827380269,0.29611822440507707,0.44239868434350427,0.479413050773345,0.40816326530612257,0.13173954073608055,0.43856854624615044,0.42538513974096787,0.7172209892263476,0.3210354073352808,0.4217055110477813,0.5723105862579888,0.39605504118005513,0.6524074881304411,0.28855647482230795,0.3776788580003963,0.7467741935483871,0.5539588437662653,0.3213869868425303,0.11055124692332699,0.07864610288789982,9.99,11.3,9.43,-1.3100000000000005,-0.5600000000000005
1984-11-01,0.2734411696142458,0.36934629299846533,0.5476445520646783,0.26928435947339796,0.43803457166022874,0.29457362231438566,0.28739377955537954,0.4328098393363923,0.5575701446245471,0.3113099736420106,0.40916566709428226,0.5485775288494983,0.2973122495034846,0.4524858971791509,0.5054966179734743,0.3877551020408164,0.13362914716059437,0.34464697255394894,0.42859350147693703,0.7163551318073257,0.33607502589172317,0.42381615971194764,0.5691294228902165,0.43023499938181786,0.6423110001060301,0.27778202078600017,0.3911288733174863,0.7370967741935484,0.5226539519696743,0.40769228193425483,0.10486230437003669,0.08176431011282477,9.43,9.99,8.38,-0.5600000000000005,-1.049999999999999
1984-12-01,0.27413703720456073,0.36264519176081483,0.5475436070378696,0.27065422869563666,0.443413233751228,0.40208451040896254,0.28785443567137947,0.4123780053665846,0.4820710925919359,0.3125817927119238,0.42608870804061405,0.6070266295387786,0.2965162327712129,0.442369218513291,0.4620743117923512,0.3979591836734694,0.14360278484178934,0.4390073212747627,0.429729606907521,0.7045331945021215,0.28490533017652364,0.4241253186021834,0.5567142664808273,0.4042234331110621,0.634818157184764,0.27238186326338654,0.39837151737328186,0.6919354838709679,0.4504963104093105,0.3571982941137489,0.09492407003204384,0.07983645585343131,8.38,9.43,8.35,-1.049999999999999,-0.0300000000000011
1985-01-01,0.27483290479487565,0.3313820388835375,0.5474430447410183,0.27168163061231576,0.4162791318934156,0.3476225076313568,0.28934334204630774,0.42153231150492954,0.5455756754891745,0.31483973236503054,0.4308662325133279,0.6972088823525128,0.29611822440507707,0.4247295092786761,0.4707269288780361,0.3979591836734694,0.15373702422145333,0.40697674418604624,0.4321381504203589,0.6951243634428337,0.3160698566296133,0.4237929146826066,0.5010663449051186,0.3949984144055874,0.6290100258008273,0.2715584944137791,0.40306321078007457,0.7419354838709677,0.4200161738912327,0.4945251132060262,0.0880276784470348,0.08010816685643309,8.35,8.38,8.5,-0.0300000000000011,0.1500000000000003
1985-02-01,0.2769205075658203,0.33623266407557967,0.6530345981063327,0.2737364344456739,0.43412572502107627,0.5076862151411591,0.29024820227416476,0.46473770777101064,0.5086605475458885,0.31695021473466906,0.4153733920113156,0.6827123124794623,0.29572021603894116,0.4147427613439705,0.47071852837330086,0.3877551020408164,0.15698695767899926,0.3753849421259423,0.4333287889116109,0.6774005989616338,0.2861259481436062,0.42565367928135667,0.4967525407149569,0.4265405594602034,0.6235553304037413,0.2751973529849044,0.40404277321321913,0.7048387096774194,0.4233509350067336,0.3688194195628807,0.09778015139553245,0.08379567332574268,8.5,8.35,8.58,0.1500000000000003,0.08
1985-03-01,0.2786601765416077,0.34734070893310154,0.6258659559451197,0.27510630366791267,0.432942815259972,0.39948417873811704,0.2905649033539147,0.43949733540732916,0.4726070009484376,0.31873813429672093,0.4201058797573787,0.6524982523270207,0.29492419930666947,0.39248824732938453,0.46200717243521294,0.3877551020408164,0.15698695767899926,0.40697674418604624,0.4364099068393546,0.6801170465635941,0.3322516899723623,0.4265858049579323,0.48778249914604715,0.41314456561379315,0.6190549121711584,0.2841244075310607,0.4067033170442415,0.7048387096774194,0.38486774819688063,0.4213543532783948,0.09269493335810153,0.08073698374909431,8.58,8.5,8.27,0.08,-0.3100000000000005
1985-04-01,0.2793560441319226,0.33475618632510384,0.5467985703582555,0.27613370558459177,0.4191283577379732,0.3456867526143523,0.2910173334678432,0.4209502683628292,0.4807412904112699,0.31940169207232777,0.40253083826307545,0.5500502300944136,0.29572021603894116,0.3949757397168156,0.4968526941519005,0.3979591836734694,0.16466094459174047,0.4390073212747627,0.4381913201545103,0.6715940647788088,0.30036079038942565,0.4251841296886677,0.4656631375758442,0.3797048850118031,0.615402740307017,0.29779436693773254,0.4090706108833956,0.7193548387096773,0.4484668356379023,0.442416105740092,0.10079877397482934,0.08147966049063245,8.27,8.58,7.97,-0.3100000000000005,-0.2999999999999998
