date,CPI,CPI_yoy,CPI_mom,coreCPI,coreCPI_yoy,coreCPI_mom,PPI,PPI_yoy,Nonfarm,industrial production,interest rate,previous interest rate,next interest rate,previous change,present change
1958-01-01,28.64,3.5056017347307566,0.5971197752019819,29.3,2.807017543859658,0.0,31.5,1.6129032258064502,52076.0,20.1606,2.72,2.98,1.67,-0.2599999999999998,-1.0500000000000005
1958-02-01,28.7,3.237410071942448,0.2094972067039124,29.4,2.797202797202792,0.3412969283276279,31.5,1.6129032258064502,51576.0,19.7305,1.67,2.72,1.2,-1.0500000000000005,-0.47
1958-03-01,28.87,3.625269203158665,0.5923344947735165,29.5,2.7874564459930307,0.3401360544217802,31.7,2.2580645161290214,51299.0,19.4885,1.2,1.67,1.26,-0.47,0.06
1958-04-01,28.94,3.616183315431432,0.2424662279182587,29.5,2.430555555555558,0.0,31.6,1.6077170418006492,51027.0,19.166,1.26,1.2,0.63,0.06,-0.63
1958-05-01,28.94,3.3571428571428585,0.0,29.5,2.430555555555558,0.0,31.7,2.2580645161290214,50914.0,19.3541,0.63,1.26,0.93,-0.63,0.3
1958-06-01,28.91,2.8459622909996485,-0.1036627505183185,29.6,2.422145328719738,0.3389830508474523,31.6,1.6077170418006492,50914.0,19.8649,0.93,0.63,0.68,0.3,-0.25
1958-07-01,28.89,2.483150053210359,-0.0691802144586639,29.6,2.0689655172413834,0.0,31.6,0.9584664536741228,51039.0,20.1606,0.68,0.93,1.53,-0.25,0.85
1958-08-01,28.94,2.333804809052342,0.1730702665282191,29.6,2.0689655172413834,0.0,31.6,0.6369426751592355,51233.0,20.5638,1.53,0.68,1.76,0.85,0.2299999999999999
1958-09-01,28.91,2.083333333333326,-0.1036627505183185,29.7,2.061855670103085,0.3378378378378288,31.6,0.9584664536741228,51506.0,20.752,1.76,1.53,1.8,0.2299999999999999,0.04
1958-10-01,28.91,2.083333333333326,0.0,29.7,1.7123287671232834,0.0,31.5,0.961538461538458,51485.0,20.9939,1.8,1.76,2.27,0.04,0.47
1958-11-01,28.95,1.9007391763463444,0.1383604289173279,29.8,1.7064846416382284,0.3367003367003462,31.6,0.9584664536741228,51944.0,21.6121,2.27,1.8,2.42,0.47,0.1499999999999999
1958-12-01,28.97,1.7562346329469625,0.0690846286701241,29.9,2.0477815699658564,0.3355704697986406,31.6,0.6369426751592355,52085.0,21.639,2.42,2.27,2.48,0.1499999999999999,0.06
1959-01-01,29.01,1.2918994413407825,0.1380738695202055,29.9,2.0477815699658564,0.0,31.7,0.6349206349206327,52478.0,21.9616,2.48,2.42,2.43,0.06,-0.0499999999999998
1959-02-01,29.0,1.0452961672473782,-0.0344708721130682,29.9,1.7006802721088343,0.0,31.7,0.6349206349206327,52688.0,22.3917,2.43,2.48,2.8,-0.0499999999999998,0.3699999999999996
