date,CPI,CPI_mom,PPI,PPI_yoy,PPI_mom,unemployment,Nonfarm,Nonfarm_yoy,Nonfarm_mom,industrial production,industrial production_yoy,industrial production_mom,interest rate,interest rate fluctuation,year,previous interest rate
1999-10-01,168.1,0.1787842669844996,127.7,2.9838709677419306,-0.2343749999999977,4.1,130179.0,2.543521071287902,0.3066704679421494,90.2709,4.249748819161359,1.2795858652042469,5.2,-0.0199999999999995,1999,5.22
1999-11-01,168.4,0.1784651992861485,128.3,3.802588996763778,0.469851213782313,4.1,130467.0,2.5482413047750008,0.2212338395593649,90.7528,4.902585205435117,0.5338375932886441,5.42,0.2199999999999997,1999,5.2
1999-12-01,168.8,0.2375296912114022,127.8,4.071661237785018,-0.3897116134060852,4.0,130781.0,2.494553206163097,0.2406738868832691,91.4784,5.3152432320418,0.7995345598152293,5.3,-0.1200000000000001,1999,5.42
2000-01-01,169.3,0.2962085308056972,128.3,4.393816110659077,0.3912363067292812,4.0,131009.0,2.588016037085761,0.1743372508238971,91.4092,4.802426035163743,-0.0756462727813267,5.45,0.1500000000000003,2000,5.3
2000-02-01,170.0,0.4134672179562759,129.8,6.132461161079328,1.169134840218233,4.1,131120.0,2.3431524063753706,0.0847270034883163,91.7245,4.557941773248531,0.3449324575644619,5.73,0.2800000000000002,2000,5.45
2000-03-01,171.0,0.588235294117645,130.8,6.688417618270814,0.7704160246533087,4.0,131604.0,2.628808497032753,0.3691275167785335,92.083,4.74392151286791,0.3908443218551216,5.85,0.1199999999999992,2000,5.73
2000-04-01,170.9,-0.0584795321637354,130.7,5.744336569579289,-0.0764525993883991,3.8,131883.0,2.556864574827955,0.2119996352694553,92.6659,5.172844298260548,0.6330158661207674,6.02,0.1699999999999999,2000,5.85
2000-05-01,171.2,0.1755412521942556,131.6,5.533279871692054,0.6885998469778221,4.0,132106.0,2.5588075459979764,0.1690892685183076,92.9347,4.835287309514125,0.2900743423416951,6.27,0.25,2000,6.02
2000-06-01,172.2,0.5841121495327117,133.8,6.869009584664543,1.6717325227963764,4.0,132060.0,2.302305404065441,-0.0348205229134146,93.0018,4.97966481657699,0.0722012337695199,6.53,0.2600000000000007,2000,6.27
2000-07-01,172.7,0.2903600464576161,133.7,6.364359586316626,-0.0747384155456054,4.0,132228.0,2.1673118379268,0.1272149023171298,92.8373,4.183041595873838,-0.1768782969791993,6.54,0.0099999999999997,2000,6.53
2000-08-01,172.7,0.0,132.9,4.728132387706863,-0.5983545250560884,4.1,132231.0,2.054503777909833,0.0022688084218236,92.591,3.452822156698221,-0.2653028470237739,6.5,-0.04,2000,6.54
2000-09-01,173.6,0.5211349160393786,134.7,5.234374999999991,1.3544018058690543,3.9,132357.0,1.984882224670792,0.0952877918188654,92.9827,4.322094369597807,0.4230432763443481,6.52,0.0199999999999995,2000,6.5
2000-10-01,173.9,0.1728110599078514,135.4,6.029757243539557,0.5196733481811489,3.9,132352.0,1.6692400463976576,-0.0037776619294827,92.64,2.624433787632552,-0.3685631843342807,6.51,-0.0099999999999997,2000,6.52
2000-11-01,174.2,0.1725129384703816,135.0,5.222135619641466,-0.2954209748892267,3.9,132553.0,1.5988717453455648,0.1518677466150864,92.6604,2.10197371320775,0.022020725388594,6.51,0.0,2000,6.51
2000-12-01,174.6,0.2296211251435087,136.2,6.572769953051627,0.8888888888888724,3.9,132718.0,1.4811019949380944,0.1244785104826062,92.3457,0.948092664497846,-0.3396272841472703,6.4,-0.1099999999999994,2000,6.51
2001-01-01,175.6,0.572737686139746,140.0,9.119251753702253,2.7900146842878115,4.2,132699.0,1.2899877107679592,-0.0143160686568499,91.8908,0.5268616288075956,-0.4926055030174625,5.98,-0.4199999999999999,2001,6.4
