date,unemployment,unemployment_yoy,unemployment_mom,Nonfarm,Nonfarm_yoy,Nonfarm_mom,interest rate
1998-09-01,4.6,-6.122448979591855,2.2222222222222143,126745.0,2.563583838416528,0.156463606407109,5.51
1998-10-01,4.5,-4.255319148936176,-2.1739130434782483,126950.0,2.4426458365275128,0.1617420805554381,5.07
1998-11-01,4.4,-4.347826086956507,-2.2222222222222143,127225.0,2.4108508411816887,0.2166207168176503,4.83
1998-12-01,4.4,-6.382978723404253,0.0,127598.0,2.446387423625662,0.2931813715857823,4.68
1999-01-01,4.3,-6.521739130434778,-2.272727272727282,127704.0,2.3162651326384287,0.0830734024044321,4.63
1999-02-01,4.4,-4.347826086956507,2.3255813953488413,128118.0,2.479642931417869,0.3241871828603582,4.76
1999-03-01,4.2,-10.63829787234043,-4.545454545454552,128233.0,2.451982998306224,0.0897610015766714,4.81
1999-04-01,4.3,0.0,2.3809523809523725,128595.0,2.5110606241779188,0.2822986282782214,4.74
1999-05-01,4.2,-4.545454545454552,-2.3255813953488302,128810.0,2.355259603006843,0.1671915704342996,4.74
1999-06-01,4.3,-4.444444444444451,2.3809523809523725,129088.0,2.388223070028639,0.2158217529694805,4.76
1999-07-01,4.3,-4.444444444444451,0.0,129423.0,2.54656957903161,0.2595128904313348,4.99
1999-08-01,4.2,-6.666666666666665,-2.3255813953488302,129569.0,2.388045548294304,0.1128083879990526,5.07
1999-09-01,4.2,-8.695652173913038,0.0,129781.0,2.395360763738208,0.1636193842663003,5.22
1999-10-01,4.1,-8.888888888888902,-2.3809523809523947,130179.0,2.543521071287902,0.3066704679421494,5.2
1999-11-01,4.1,-6.818181818181834,0.0,130467.0,2.5482413047750008,0.2212338395593649,5.42
1999-12-01,4.0,-9.090909090909092,-2.439024390243893,130781.0,2.494553206163097,0.2406738868832691,5.3
2000-01-01,4.0,-6.976744186046513,0.0,131009.0,2.588016037085761,0.1743372508238971,5.45
2000-02-01,4.1,-6.818181818181834,2.499999999999991,131120.0,2.3431524063753706,0.0847270034883163,5.73
2000-03-01,4.0,-4.761904761904767,-2.439024390243893,131604.0,2.628808497032753,0.3691275167785335,5.85
2000-04-01,3.8,-11.627906976744184,-5.000000000000004,131883.0,2.556864574827955,0.2119996352694553,6.02
2000-05-01,4.0,-4.761904761904767,5.263157894736836,132106.0,2.5588075459979764,0.1690892685183076,6.27
2000-06-01,4.0,-6.976744186046513,0.0,132060.0,2.302305404065441,-0.0348205229134146,6.53
2000-07-01,4.0,-6.976744186046513,0.0,132228.0,2.1673118379268,0.1272149023171298,6.54
2000-08-01,4.1,-2.3809523809523947,2.499999999999991,132231.0,2.054503777909833,0.0022688084218236,6.5
2000-09-01,3.9,-7.142857142857151,-4.878048780487799,132357.0,1.984882224670792,0.0952877918188654,6.52
2000-10-01,3.9,-4.878048780487799,0.0,132352.0,1.6692400463976576,-0.0037776619294827,6.51
2000-11-01,3.9,-4.878048780487799,0.0,132553.0,1.5988717453455648,0.1518677466150864,6.51
2000-12-01,3.9,-2.500000000000002,0.0,132718.0,1.4811019949380944,0.1244785104826062,6.4
2001-01-01,4.2,5.000000000000004,7.692307692307709,132699.0,1.2899877107679592,-0.0143160686568499,5.98
2001-02-01,4.2,2.4390243902439046,0.0,132786.0,1.2705918242831071,0.0655619107905902,5.49
2001-03-01,4.3,7.499999999999996,2.3809523809523725,132751.0,0.8715540561077262,-0.0263582004126905,5.31
2001-04-01,4.4,15.789473684210533,2.3255813953488413,132455.0,0.4337177649886614,-0.2229738382385049,4.8
2001-05-01,4.3,7.499999999999996,-2.272727272727282,132411.0,0.2308752062737395,-0.0332188290362744,4.21
2001-06-01,4.5,12.5,4.651162790697683,132296.0,0.1787066484931099,-0.0868507903421966,3.97
2001-07-01,4.6,14.999999999999991,2.2222222222222143,132173.0,-0.0415948210666372,-0.0929733325270576,3.77
2001-08-01,4.9,19.51219512195124,6.521739130434789,132024.0,-0.1565442294166996,-0.1127310418920668,3.65
2001-09-01,5.0,28.20512820512821,2.0408163265306145,131765.0,-0.4472751724502677,-0.1961764527661613,3.07
2001-10-01,5.3,35.897435897435905,6.000000000000005,131452.0,-0.6800048355899424,-0.2375441126247435,2.49
2001-11-01,5.5,41.02564102564104,3.773584905660377,131141.0,-1.0652342836450337,-0.2365882603535873,2.09
2001-12-01,5.7,46.15384615384617,3.6363636363636376,130984.0,-1.306529634262121,-0.1197184709587406,1.82
2002-01-01,5.7,35.71428571428572,0.0,130853.0,-1.3911182450508264,-0.1000122152323923,1.73
2002-02-01,5.7,35.71428571428572,0.0,130732.0,-1.5468498185049584,-0.0924701764575486,1.74
2002-03-01,5.7,32.558139534883736,0.0,130720.0,-1.5299319779135343,-0.0091790839274241,1.73
2002-04-01,5.9,34.09090909090908,3.5087719298245723,130616.0,-1.388396059038921,-0.0795593635250946,1.75
2002-05-01,5.8,34.88372093023256,-1.6949152542372947,130632.0,-1.3435439653805226,0.0122496478226263,1.75
2002-06-01,5.8,28.888888888888875,0.0,130682.0,-1.2199915341355785,0.0382754608365454,1.75
2002-07-01,5.8,26.086956521739136,0.0,130585.0,-1.2014556679503352,-0.0742259836855829,1.73
2002-08-01,5.7,16.326530612244895,-1.724137931034475,130587.0,-1.088438465733499,0.0015315694758211,1.74
2002-09-01,5.7,14.000000000000012,0.0,130498.0,-0.9615603536599292,-0.0681537978512447,1.75
2002-10-01,5.7,7.547169811320753,0.0,130621.0,-0.6321699175364404,0.0942543180738386,1.75
2002-11-01,5.9,7.272727272727275,3.5087719298245723,130617.0,-0.3995699285501919,-0.0030622947305603,1.34
2002-12-01,6.0,5.263157894736836,1.6949152542372836,130469.0,-0.3931777927075108,-0.1133083748669827,1.24
2003-01-01,5.8,1.754385964912264,-3.3333333333333326,130580.0,-0.208631059280262,0.0850776812882703,1.24
2003-02-01,5.9,3.5087719298245723,1.7241379310344973,130443.0,-0.2210629379187922,-0.1049165262674178,1.26
2003-03-01,5.9,3.5087719298245723,0.0,130232.0,-0.3733170134638919,-0.1617564760086787,1.25
2003-04-01,6.0,1.6949152542372836,1.6949152542372836,130176.0,-0.3368653151221923,-0.0430001842865013,1.26
2003-05-01,6.1,5.172413793103448,1.6666666666666607,130196.0,-0.3337620184946988,0.0153638151425772,1.26
2003-06-01,6.3,8.62068965517242,3.278688524590168,130192.0,-0.3749560000612217,-0.0030722910073999,1.22
2003-07-01,6.2,6.896551724137945,-1.5873015873015817,130184.0,-0.3070796799019781,-0.0061447708000539,1.01
2003-08-01,6.1,7.017543859649122,-1.6129032258064613,130153.0,-0.3323454861509978,-0.0238124500706704,1.03
2003-09-01,6.1,7.017543859649122,0.0,130252.0,-0.1885086361476773,0.0760643242952552,1.01
2003-10-01,6.0,5.263157894736836,-1.639344262295073,130439.0,-0.1393344102403104,0.1435678530847806,1.01
2003-11-01,5.8,-1.6949152542372947,-3.3333333333333326,130482.0,-0.1033556122097434,0.0329656007789003,1.0
2003-12-01,5.7,-4.999999999999993,-1.724137931034475,130594.0,0.0958081996489612,0.0858355941815824,0.98
2004-01-01,5.7,-1.724137931034475,0.0,130766.0,0.1424414152243924,0.1317058976675778,1.0
2004-02-01,5.6,-5.084745762711873,-1.7543859649122862,130822.0,0.2905483621198579,0.0428245874309896,1.01
2004-03-01,5.8,-1.6949152542372947,3.571428571428581,131139.0,0.6964494133546273,0.2423139838864996,1.0
2004-04-01,5.6,-6.666666666666677,-3.4482758620689724,131409.0,0.9471792035398164,0.2058884084826129,1.0
2004-05-01,5.6,-8.196721311475407,0.0,131693.0,1.149804909521035,0.2161191394805639,1.0
2004-06-01,5.6,-11.111111111111116,0.0,131789.0,1.2266498709598173,0.0728968130424556,1.03
2004-07-01,5.5,-11.290322580645162,-1.7857142857142794,131850.0,1.2797271554108036,0.0462861088558197,1.26
2004-08-01,5.4,-11.475409836065564,-1.818181818181808,131936.0,1.369926163822588,0.0652256351915125,1.43
2004-09-01,5.4,-11.475409836065564,0.0,132083.0,1.4057365721831472,0.1114176570458314,1.61
2004-10-01,5.5,-8.333333333333337,1.8518518518518376,132435.0,1.5302171896442118,0.2664990952658597,1.76
2004-11-01,5.4,-6.896551724137923,-1.818181818181808,132509.0,1.5534709768397104,0.0558764677011325,1.93
2004-12-01,5.4,-5.263157894736836,0.0,132633.0,1.5613274729313842,0.0935785493815455,2.16
2005-01-01,5.3,-7.017543859649134,-1.85185185185186,132779.0,1.539390973188759,0.110078185670237,2.28
2005-02-01,5.4,-3.5714285714285587,1.8867924528301885,133033.0,1.6900827078014435,0.1912953102523706,2.5
2005-03-01,5.2,-10.344827586206897,-3.703703703703709,133154.0,1.5365375670090442,0.0909548758578626,2.63
2005-04-01,5.2,-7.142857142857128,0.0,133515.0,1.602629956852275,0.2711146492031746,2.79
2005-05-01,5.1,-8.92857142857143,-1.9230769230769384,133687.0,1.5141275542359889,0.1288244766505686,3.0
2005-06-01,5.0,-10.71428571428571,-1.9607843137254832,133939.0,1.6313956400002994,0.1885000037400885,3.04
