date,CPI_yoy,coreCPI_yoy,corePCE_yoy,unemployment,continued claims,interest rate,previous interest rate,next interest rate,previous change,present change
2000-12-01,3.4360189573459543,2.5741466144376224,2.4847793521432404,3.9,2306400.0,6.4,6.51,5.98,-0.1099999999999994,-0.4199999999999999
2001-01-01,3.7212049616065945,2.5655326268823275,2.7014432367977514,4.2,2395750.0,5.98,6.4,5.49,-0.4199999999999999,-0.4900000000000002
2001-02-01,3.529411764705892,2.7870680044593144,2.537197196376595,4.2,2486500.0,5.49,5.98,5.31,-0.4900000000000002,-0.1800000000000006
2001-04-01,3.2182562902282053,2.66222961730449,2.373236751810892,4.4,2697250.0,4.8,5.31,4.21,-0.5099999999999998,-0.5899999999999999
2001-05-01,3.56308411214954,2.54565578306587,2.5576491395143286,4.3,2819250.0,4.21,4.8,3.97,-0.5899999999999999,-0.2399999999999997
2001-06-01,3.193960511033689,2.705687465488693,2.391734685576364,4.5,2947400.0,3.97,4.21,3.77,-0.2399999999999997,-0.2000000000000001
2001-07-01,2.7214823393167498,2.6997245179063434,2.1017325092305805,4.6,3030750.0,3.77,3.97,3.65,-0.2000000000000001,-0.1200000000000001
2001-08-01,2.7214823393167498,2.638812534359536,2.096464414207256,4.9,3120000.0,3.65,3.77,3.07,-0.1200000000000001,-0.5800000000000001
2001-09-01,2.5921658986175045,2.633022490400428,1.3130959435436296,5.0,3262200.0,3.07,3.65,2.49,-0.5800000000000001,-0.5799999999999996
2001-10-01,2.127659574468077,2.6286966046002336,1.531881699460702,5.3,3527500.0,2.49,3.07,2.09,-0.5799999999999996,-0.4000000000000003
2001-11-01,1.894374282433997,2.730748225013646,1.321568153430852,5.5,3656500.0,2.09,2.49,1.82,-0.4000000000000003,-0.2699999999999998
2001-12-01,1.603665521191311,2.782324058919805,1.0620750693969505,5.7,3589400.0,1.82,2.09,1.73,-0.2699999999999998,-0.09
2002-01-01,1.1958997722095743,2.610114192495905,0.6659371163187933,5.7,3550500.0,1.73,1.82,1.74,-0.09,0.01
2002-03-01,1.362862010221466,2.436383324309688,0.9433082406235416,5.7,3610800.0,1.73,1.74,1.75,-0.01,0.02
2002-04-01,1.643990929705219,2.485143165856285,1.1877053213986466,5.9,3689250.0,1.75,1.73,1.75,0.02,0.0
2002-05-01,1.2408347433727984,2.5364274150026844,0.9882602639782244,5.8,3712000.0,1.75,1.75,1.75,0.0,0.0
2002-06-01,1.0692177827799745,2.2580645161290214,0.9362006409068035,5.8,3635200.0,1.75,1.75,1.73,0.0,-0.02
2002-07-01,1.465614430665152,2.1995708154506355,1.1921635118487872,5.8,3504250.0,1.73,1.75,1.74,-0.02,0.01
2002-08-01,1.747463359639223,2.3567220139260936,1.402946319749887,5.7,3516800.0,1.74,1.73,1.75,0.01,0.01
2002-09-01,1.516002245929271,2.2447888829503,1.9328166748640685,5.7,3555000.0,1.75,1.74,1.75,0.01,0.0
2002-10-01,2.027027027027017,2.187833511205972,1.7604514385630263,5.7,3555750.0,1.75,1.75,1.34,0.0,-0.4099999999999999
2002-11-01,2.2535211267605604,2.020202020202033,1.9299850214074648,5.9,3482400.0,1.34,1.75,1.24,-0.4099999999999999,-0.1
2002-12-01,2.480270574971821,1.9639065817409709,2.13367302257077,6.0,3482750.0,1.24,1.34,1.24,-0.1,0.0
2003-01-01,2.757456387169399,1.9607843137255048,2.34651535840702,5.8,3414500.0,1.24,1.24,1.26,0.0,0.02
2003-02-01,3.146067415730336,1.7979904812268632,2.6046216151830226,5.9,3437000.0,1.26,1.24,1.25,0.02,-0.01
2003-03-01,3.025210084033625,1.744186046511631,2.589654580732015,5.9,3540800.0,1.25,1.26,1.26,-0.01,0.01
