date,CPI,CPI_yoy,CPI_mom,coreCPI,coreCPI_yoy,coreCPI_mom,PCE,corePCE,PPI,PPI_yoy,PPI_mom,unemployment,unemployment_yoy,unemployment_mom,Nonfarm,Nonfarm_yoy,Nonfarm_mom,industrial production,industrial production_yoy,industrial production_mom,OECD leading,OECD leading_yoy,OECD leading_mom,consumer sentiment_mom,interest rate,interest rate fluctuation,year,previous interest rate
1980-06-01,-0.3438120238171457,3.829206811130795,2.2359919964243704,-0.3860760689520524,3.967778709888107,3.787495783189806,-0.2554623377213923,-0.37889790687740277,-0.24319578577699738,1.9696065930738935,0.2873884621998492,0.8695652173913044,2.334771354616048,0.3379084967320222,-0.34526910518398946,-0.9407437271380399,-2.339927860140317,-0.2709800587168916,-1.6158751536049687,-1.8600128145624317,-1.2236409998840887,-1.1619130708241738,1.3051883029958842,3.1384792109894284,9.47,-1.5099999999999998,-0.34375,10.98
1980-07-01,-0.3431717779627377,3.449989926071142,-0.4401324580211975,-0.38733569723574585,3.5194610668872284,-2.187677880361375,-0.25224518563990633,-0.3739526172247231,-0.2291483757682178,2.022855427572728,2.1165941107048014,0.9565217391304349,2.54702329594478,0.6669246646026844,-0.35005686612613274,-1.1385111173088602,-2.054258468362145,-0.27795068422825797,-1.7138256162979193,-1.1589915383162173,-0.927539311517208,-0.7971982421601533,2.076149016319381,1.4215958889008302,9.03,-0.4400000000000013,-0.34375,9.47
1980-08-01,-0.33933030283628907,3.3613813396764316,1.447484108143376,-0.38418662652651214,3.318784288253007,1.5867297688719688,-0.25034672487097287,-0.3686130187625275,-0.21861281826163306,2.190304097690997,1.4734766104018924,0.9130434782608698,2.0323123382226065,-0.32491201608848513,-0.34530579300730085,-1.0443370746349483,0.5613748652258406,-0.27484438419456786,-1.5410203789426253,0.0908669118976735,-0.5946502852580167,-0.4077356525308863,2.3234221897185887,1.8603459666149245,9.61,0.5800000000000001,-0.34375,9.03
1980-09-01,-0.33484858185543237,3.3201431715973126,1.8060366759563806,-0.37914811339173826,3.383141071232588,3.1789273314924698,-0.2484482641020394,-0.3626326684848683,-0.21685689201053557,1.9036492277500248,-0.030049868392373412,0.8260869565217394,1.9588335941270232,-0.6582633053221283,-0.3432145870785486,-0.9978584944955715,-0.17069720558611948,-0.2585568639404489,-1.2418317153253462,1.7273808209925572,-0.3040605803036738,-0.05393477945354686,2.0173839946920533,2.2043302936365614,10.87,1.2599999999999998,-0.34375,9.61
1980-10-01,-0.32972661502016765,3.2739539164691784,2.155905781210619,-0.3734797861151175,3.440435593854378,3.668161440567349,-0.2442875656503649,-0.35740807675878156,-0.20719929762949962,1.84686631906992,1.2983332918307886,0.8260869565217394,1.8306729939603108,0.0,-0.33813332354991377,-0.9322009382340924,0.6462785290950862,-0.24595719763207288,-1.13752861072256,1.243461911862887,-0.11307293075249024,0.22640988283012706,1.3192843567761627,0.4088722383613103,12.81,1.9400000000000013,-0.34375,10.87
1980-11-01,-0.3239644023304949,3.2734779496296302,2.496067510562578,-0.3678114588384968,3.4417566660494665,3.6163372673164016,-0.24318486688038557,-0.35205204876285606,-0.20368744512730466,1.8110407003978322,0.25764270595022726,0.8260869565217394,1.9588335941270232,0.0,-0.3334189382543934,-0.8443568816489293,0.5420007663011143,-0.229216466398216,-0.8034009808491428,1.7238695095721155,-0.03663923553426229,0.42172960011368954,0.5253378458485667,0.5254113101978294,15.85,3.039999999999999,-0.34375,12.81
1980-12-01,-0.31884243549523006,3.178992652024995,2.096840496423931,-0.3615133174200294,3.437172179052778,4.085269815367697,-0.24035422776982016,-0.3477475109256399,-0.19841966637401234,1.7460200776708303,0.5457240429428756,0.6956521739130438,1.5282139775668682,-1.0137254901960755,-0.329823531569872,-0.7928698973275562,0.2341512420199661,-0.2224764570933535,-0.6935242708968797,0.5036977527571725,-0.04861620883719737,0.5498146142611643,-0.08429152225000745,-3.687026220039995,18.9,3.049999999999999,-0.34375,15.85
1981-01-01,-0.31372046865996533,2.9889718223595865,2.069849334149365,-0.3583642467107957,3.140894960937412,1.4564420671479892,-0.23827387854398288,-0.3413399927710051,-0.18612818261633013,1.6147025964445438,1.6950582803412317,0.8260869565217394,1.4706027363490695,1.0559640522875824,-0.32817257952085704,-0.8132543677244012,-0.2954423646449785,-0.22897782875844258,-0.9099514078751276,-1.0629503528500783,-0.10500457185540327,0.6459648338818994,-0.3902851173107494,2.479711381918626,19.08,0.1799999999999997,-0.3125,18.9
1981-02-01,-0.3085985018247006,2.852120773799309,2.043353422558728,-0.355215176001562,2.956554974847759,1.4414091570272554,-0.23665961848896166,-0.33452173627312454,-0.17822651448639165,1.4086237116796188,0.9541322284740751,0.7826086956521743,1.3745840009860721,-0.3379084967320251,-0.3268518178816451,-0.819203996231607,-0.38536985420930986,-0.23317103300017647,-0.9926393547393003,-0.7939223108552151,-0.1759842367577116,0.7430292636652983,-0.49124234040186954,-1.4609187443711305,15.93,-3.1499999999999986,-0.3125,19.08
1981-03-01,-0.3047570266982521,2.5866690902623763,1.308453183804734,-0.3520661052923283,2.6219960731769327,1.4265512516810361,-0.2345337971488984,-0.3297736010252028,-0.17032484635645306,1.4570455430128442,0.9421431480824165,0.7826086956521743,1.3745840009860721,0.0,-0.32492570715779434,-0.8225274145236138,-0.22172709125549295,-0.22801926748271378,-0.8216315406499498,0.317555795661432,-0.24704761168848963,0.8334848963701447,-0.49236064163819154,-0.13859438411971475,14.7,-1.2300000000000004,-0.3125,15.93
